author_id,author_name,orcid,works_count,citations_sum,oa_share,multi_institution_share,papers_since_2020,coauthors_count,top_concepts,is_key_researcher
https://openalex.org/A5054990285,Matti Rossi,https://orcid.org/0000-0001-8913-3747,1,31,0.0,100.0,1,4,Generative grammar (1); Foundation (evidence) (1); Scholarship (1); Constructive (1); Artificial intelligence (1),False
https://openalex.org/A5055023069,Arnaud Fortin,,1,345,100.0,100.0,1,4,Computer science (1); Control (management) (1); Production planning (1); Key (lock) (1); Production (economics) (1),False
https://openalex.org/A5055057793,Jessica D’Abbraccio,https://orcid.org/0000-0002-5139-2425,1,151,100.0,100.0,1,11,Computer science (1); Artificial intelligence (1); Convolutional neural network (1); Materials science (1); Soft robotics (1),False
https://openalex.org/A5055091042,Isabella Hermann,https://orcid.org/0000-0002-2226-8898,1,97,100.0,0.0,1,0,Narrative (1); Futures studies (1); Metaphor (1); Performing arts (1); Drama (1),False
https://openalex.org/A5055311901,Micah Sheller,https://orcid.org/0000-0002-6571-0850,1,93,100.0,100.0,1,73,Benchmarking (1); Software deployment (1); Computer science (1); Process (computing) (1); Health care (1),False
https://openalex.org/A5055320910,Alexandre Georgieff,,1,87,100.0,0.0,1,1,Productivity (1); Context (archaeology) (1); Automation (1); Value (mathematics) (1); Labour economics (1),False
https://openalex.org/A5055331851,Jeremy P. Howard,,1,93,100.0,100.0,1,73,Benchmarking (1); Software deployment (1); Computer science (1); Process (computing) (1); Health care (1),False
https://openalex.org/A5055380138,Jimmy Aronsson,https://orcid.org/0000-0001-7912-1857,1,41,100.0,100.0,1,6,Equivariant map (1); Artificial intelligence (1); Algorithm (1); Convolutional neural network (1); Computer science (1),False
https://openalex.org/A5055560733,Annalisa Appice,https://orcid.org/0000-0001-9840-844X,1,105,100.0,100.0,1,2,Computer science (1); Convolutional neural network (1); Artificial intelligence (1); Deep learning (1); Benchmark (surveying) (1),False
https://openalex.org/A5055567952,Harlin Lee,https://orcid.org/0000-0001-6128-9942,1,56,100.0,100.0,1,15,Computer science (1); Benchmark (surveying) (1); Artificial intelligence (1); Machine learning (1); Data science (1),False
https://openalex.org/A5055590426,Shunlei Li,https://orcid.org/0000-0002-2872-4217,1,31,0.0,100.0,1,2,Artificial intelligence (1); Computer science (1); Computer vision (1); Robot (1); Smart camera (1),False
https://openalex.org/A5055868385,Philip Mavrepis,https://orcid.org/0000-0002-2785-7106,1,44,100.0,0.0,1,2,Computer science (1); Food safety (1); Supply chain (1); Data science (1); Risk analysis (engineering) (1),False
https://openalex.org/A5056305302,David Charte,https://orcid.org/0000-0002-4830-9512,1,282,100.0,100.0,1,40,Artificial intelligence (1); Field (mathematics) (1); Computer science (1); Robotics (1); Applications of artificial intelligence (1),False
https://openalex.org/A5056383055,Md. Sakib Bin Alam,https://orcid.org/0000-0003-3009-2228,1,655,100.0,100.0,1,8,Computer science (1); Deep learning (1); Artificial intelligence (1); Machine learning (1); Field (mathematics) (1),False
https://openalex.org/A5056506409,Görkem Giray,https://orcid.org/0000-0002-7023-9469,1,107,100.0,100.0,1,4,Phishing (1); Deep learning (1); Artificial intelligence (1); Machine learning (1); Computer science (1),False
https://openalex.org/A2946487073,Thomas Bohnstingl,,1,284,100.0,100.0,1,3,Advanced Memory and Neural Computing (2); Neural Networks and Reservoir Computing (2); Neural dynamics and brain function (2),False
https://openalex.org/A5056585882,Panos Patros,,1,597,100.0,100.0,1,21,Autonomic computing (1); Computer science (1); Cloud computing (1); Granularity (1); Utility computing (1),False
https://openalex.org/A5056656076,Miguel García-Torres,https://orcid.org/0000-0002-6867-7080,1,138,0.0,100.0,1,4,Technical analysis (1); Trading strategy (1); Computer science (1); Support vector machine (1); Machine learning (1),False
https://openalex.org/A5056774275,Sriparna Basu,https://orcid.org/0000-0001-7924-8153,1,2960,100.0,100.0,1,72,Transformative learning (1); Generative grammar (1); Knowledge management (1); Hospitality (1); Engineering ethics (1),False
https://openalex.org/A5056984467,Frantz Rowe,https://orcid.org/0000-0001-8520-1570,1,2960,100.0,100.0,1,72,Transformative learning (1); Generative grammar (1); Knowledge management (1); Hospitality (1); Engineering ethics (1),False
https://openalex.org/A5057159975,Adil S. Al-Busaidi,https://orcid.org/0000-0002-0959-7419,1,2960,100.0,100.0,1,72,Transformative learning (1); Generative grammar (1); Knowledge management (1); Hospitality (1); Engineering ethics (1),False
https://openalex.org/A5057226223,Stefan Lessmann,https://orcid.org/0000-0001-7685-262X,1,153,0.0,100.0,1,2,Clickstream (1); Computer science (1); Machine learning (1); Artificial intelligence (1); Revenue (1),False
https://openalex.org/A5057226313,Leonie L. Zeune,https://orcid.org/0000-0002-1741-2410,1,89,100.0,100.0,1,9,Convolutional neural network (1); Deep learning (1); Computer science (1); Artificial intelligence (1); Circulating tumor cell (1),False
https://openalex.org/A5057533217,Anna Wuest,,1,93,100.0,100.0,1,73,Benchmarking (1); Software deployment (1); Computer science (1); Process (computing) (1); Health care (1),False
https://openalex.org/A5057628466,Michael Kopp,https://orcid.org/0000-0002-1385-1109,1,56,100.0,100.0,1,15,Computer science (1); Benchmark (surveying) (1); Artificial intelligence (1); Machine learning (1); Data science (1),False
https://openalex.org/A5057695278,Anand Jeyaraj,https://orcid.org/0000-0003-3691-881X,1,2960,100.0,100.0,1,72,Transformative learning (1); Generative grammar (1); Knowledge management (1); Hospitality (1); Engineering ethics (1),False
https://openalex.org/A5057774051,Simon Buckingham Shum,https://orcid.org/0000-0002-6334-7429,1,278,100.0,100.0,1,10,Dialogical self (1); Knowledge management (1); Cognition (1); Computer science (1); Test (biology) (1),False
https://openalex.org/A5057778679,Rose Yu,https://orcid.org/0000-0002-8491-7937,1,56,100.0,100.0,1,15,Computer science (1); Benchmark (surveying) (1); Artificial intelligence (1); Machine learning (1); Data science (1),False
https://openalex.org/A5057953350,John Danaher,https://orcid.org/0000-0001-5879-3160,1,79,0.0,100.0,1,13,Blame (1); Generative grammar (1); Quality (philosophy) (1); Asymmetry (1); Generative model (1),False
https://openalex.org/A5058038900,Brian D. Earp,https://orcid.org/0000-0001-9691-2888,1,79,0.0,100.0,1,13,Blame (1); Generative grammar (1); Quality (philosophy) (1); Asymmetry (1); Generative model (1),False
https://openalex.org/A5058475882,Suresh Chandra Satapathy,https://orcid.org/0000-0001-8236-4104,1,122,100.0,100.0,1,6,Computer science (1); Artificial intelligence (1); Convolutional neural network (1); Pattern recognition (psychology) (1); Feature selection (1),False
https://openalex.org/A5058487219,Martin Keller‐Ressel,https://orcid.org/0000-0003-0913-3363,1,35,100.0,100.0,1,4,Artificial intelligence (1); Deep learning (1); Pattern recognition (psychology) (1); Computer science (1); Computer vision (1),False
https://openalex.org/A5058952816,Juan Chiachío,https://orcid.org/0000-0003-1243-8694,1,228,100.0,100.0,1,13,SWOT analysis (1); Blueprint (1); Prosperity (1); Sustainable development (1); Computer science (1),False
https://openalex.org/A5058957048,Osama Ahmad Alomari,https://orcid.org/0000-0002-1135-5750,1,160,100.0,100.0,1,11,Artificial intelligence (1); Computer science (1); Coronavirus disease 2019 (COVID-19) (1); Machine learning (1); Deep learning (1),False
https://openalex.org/A5058971932,James A. Eddy,https://orcid.org/0000-0001-9758-0176,1,93,100.0,100.0,1,73,Benchmarking (1); Software deployment (1); Computer science (1); Process (computing) (1); Health care (1),False
https://openalex.org/A5059038571,Hannes Boelsen,,1,59,100.0,100.0,1,1,Computer science (1); Theory of computation (1); Scope (computer science) (1); Rendering (computer graphics) (1); Artificial intelligence (1),False
https://openalex.org/A5059077090,Salil S. Kanhere,https://orcid.org/0000-0002-1835-3475,1,597,100.0,100.0,1,21,Autonomic computing (1); Computer science (1); Cloud computing (1); Granularity (1); Utility computing (1),False
