cluster,works_count,citations_sum,oa_share,collaboration_rate,multi_country_rate
0,1.0719424460431655,576.589928057554,68.34532374100719,94.79640287769784,76.54676258992805
1,1.197080291970803,430.17518248175185,89.13357664233575,94.14963503649635,81.55839416058394
2,3.7096774193548385,5740.612903225807,89.69032258064516,84.07741935483871,70.8225806451613
3,1.1265060240963856,3242.7710843373493,85.99397590361446,97.59036144578313,95.18072289156626
4,1.2924528301886793,751.7641509433962,77.61226415094339,87.47830188679247,74.00754716981132
