Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;21100794681;"Studies in Second Language Learning and Teaching";journal;"20835205, 20841965";"Adam Mickiewicz University";Yes;Yes;1,304;Q1;33;32;94;1804;259;82;3,39;56,38;69,23;2;3;Poland;Eastern Europe;"Adam Mickiewicz University";"2016-2024";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
2;21100805726;"Voprosy Obrazovaniya / Educational Studies Moscow";journal;"24124354, 18149545";"National Research University Higher School of Economics";Yes;Yes;0,753;Q1;19;52;139;1650;223;138;1,67;31,73;62,24;0;32;Russian Federation;Eastern Europe;"National Research University Higher School of Economics";"2012-2024";"Education (Q1)";"Social Sciences"
3;21100854757;"Open Archaeology";journal;"23006560";"Walter de Gruyter GmbH";Yes;No;0,553;Q2;18;25;83;1892;103;82;1,00;75,68;48,44;0;0;Poland;Eastern Europe;"Walter de Gruyter GmbH";"2015-2025";"Archeology (arts and humanities) (Q1); Conservation (Q1); Education (Q2)";"Arts and Humanities; Social Sciences"
4;4100151705;"Informatics in Education";journal;"16485831";"Vilnius University Institute of Data Science and Digital Technologies";Yes;Yes;0,530;Q2;35;31;55;1388;165;55;3,00;44,77;34,67;1;6;Lithuania;Eastern Europe;"Vilnius University Institute of Data Science and Digital Technologies";"2006-2024";"Communication (Q2); Computer Science Applications (Q2); Education (Q2)";"Computer Science; Social Sciences"
5;21100790713;"European Journal of Contemporary Education (discontinued)";journal;"23049650, 23056746";"Cherkas Global University Press";Yes;No;0,517;Q2;26;74;234;2488;443;234;2,14;33,62;61,46;2;29;Slovakia;Eastern Europe;"Cherkas Global University Press";"2016-2023";"Education (Q2)";"Social Sciences"
6;21100860011;"Physical Activity Review";journal;"23005076";"PPHU Projack";Yes;No;0,442;Q2;14;26;84;877;106;84;1,34;33,73;41,94;2;7;Poland;Eastern Europe;"PPHU Projack";"2017-2025";"Education (Q2); Health (social science) (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Orthopedics and Sports Medicine (Q3)";"Health Professions; Medicine; Social Sciences"
7;19700182688;"Journal of Baltic Science Education";journal;"16483898";"Scientific Methodical Center";Yes;No;0,416;Q2;29;77;226;3906;359;211;1,64;50,73;54,97;4;19;Lithuania;Eastern Europe;"Scientific Methodical Center";"2008-2024";"Education (Q2)";"Social Sciences"
8;17700156732;"Journal of Teacher Education for Sustainability";journal;"16914147, 16915534";"De Gruyter Open Ltd";Yes;No;0,408;Q2;25;22;63;797;114;61;1,95;36,23;45,45;1;20;Poland;Eastern Europe;"De Gruyter Open Ltd";"2007-2024";"Education (Q2)";"Social Sciences"
9;21100900514;"Obrazovanie i Nauka";journal;"19945639, 23105828";"Russian State Vocational Pedagogical University";Yes;No;0,391;Q2;16;66;162;2161;240;162;1,48;32,74;71,78;0;47;Russian Federation;Eastern Europe;"Russian State Vocational Pedagogical University";"2018-2025";"Education (Q2); Developmental and Educational Psychology (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3)";"Health Professions; Psychology; Social Sciences"
10;21100792737;"International Journal of Cognitive Research in Science, Engineering and Education";journal;"2334847X, 23348496";"Association for the Development of Science, Engineering and Education";Yes;No;0,373;Q3;17;49;90;1621;133;85;1,43;33,08;70,97;0;15;Serbia;Eastern Europe;"Association for the Development of Science, Engineering and Education";"2013-2024";"Education (Q3); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4)";"Neuroscience; Psychology; Social Sciences"
