Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;11800154593;"Strategic Organization";journal;"1741315X, 14761270";"SAGE Publications Ltd";No;No;3,914;Q1;80;50;105;4059;673;98;6,65;81,18;26,13;2;9;United Kingdom;Western Europe;"SAGE Publications Ltd";"2003-2025";"Business and International Management (Q1); Education (Q1); Industrial Relations (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Social Sciences"
2;4700152248;"Educational Research Review";journal;"1747938X";"Elsevier Ltd";No;No;3,874;Q1;117;48;130;5704;1960;129;11,36;118,83;57,87;8;22;United Kingdom;Western Europe;"Elsevier Ltd";"2006-2025";"Education (Q1)";"Social Sciences"
3;17645;"Computers and Education";journal;"03601315";"Elsevier Ltd";No;No;3,651;Q1;253;163;597;13475;9295;596;11,25;82,67;47,70;8;79;United Kingdom;Western Europe;"Elsevier Ltd";"1976-2025";"Computer Science (miscellaneous) (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
4;21100403241;"Research Synthesis Methods";journal;"17592879, 17592887";"Cambridge University Press";No;No;3,520;Q1;77;69;199;2772;2077;182;10,12;40,17;44,37;5;8;United Kingdom;Western Europe;"Cambridge University Press";"2010-2024";"Education (Q1)";"Social Sciences"
5;21101074919;"Computers and Education: Artificial Intelligence";journal;"2666920X";"Elsevier B.V.";Yes;No;3,227;Q1;51;79;106;5426;2152;105;18,39;68,68;31,22;9;18;Netherlands;Western Europe;"Elsevier B.V.";"2020-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Education (Q1)";"Computer Science; Social Sciences"
6;19700201158;"Studies in Science Education";journal;"19408412, 03057267";"Taylor and Francis Ltd.";No;No;2,838;Q1;58;9;21;1046;223;21;7,73;116,22;57,58;0;4;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1974-2025";"Education (Q1)";"Social Sciences"
7;5700152760;"Assessment and Evaluation in Higher Education";journal;"02602938, 1469297X";"Taylor and Francis Ltd.";No;No;2,738;Q1;114;99;273;4262;1929;272;6,21;43,05;54,58;3;24;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1981-2025";"Education (Q1)";"Social Sciences"
8;22497;"Journal of Second Language Writing";journal;"10603743";"Elsevier Ltd";No;No;2,606;Q1;113;61;101;2688;603;81;4,69;44,07;52,53;1;9;United Kingdom;Western Europe;"Elsevier Ltd";"1992-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
9;28879;"European Journal of Teacher Education";journal;"14695928, 02619768";"Routledge";No;No;2,601;Q1;65;89;137;4753;1406;122;4,62;53,40;57,98;4;24;United Kingdom;Western Europe;"Routledge";"1982-2025";"Education (Q1)";"Social Sciences"
10;21100466714;"International Journal of Educational Technology in Higher Education";journal;"23659440";"Springer Netherlands";Yes;Yes;2,578;Q1;77;61;183;3538;2405;178;10,59;58,00;51,91;6;25;Netherlands;Western Europe;"Springer Netherlands";"2016-2025";"Computer Science Applications (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
11;16965;"Internet and Higher Education";journal;"10967516";"Elsevier B.V.";No;No;2,426;Q1;124;18;76;1500;790;75;9,21;83,33;53,13;0;3;United Kingdom;Western Europe;"Elsevier B.V.";"1998-2025";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
12;23988;"British Journal of Educational Technology";journal;"00071013, 14678535";"Wiley-Blackwell Publishing Ltd";No;No;2,425;Q1;127;94;387;6254;3586;366;8,57;66,53;46,67;7;49;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1970-2025";"Education (Q1); E-learning (Q1)";"Social Sciences"
13;13455;"Learning and Instruction";journal;"09594752";"Elsevier B.V.";No;No;2,357;Q1;153;80;243;4949;1675;236;5,57;61,86;47,27;5;26;United Kingdom;Western Europe;"Elsevier B.V.";"1991-2025";"Developmental and Educational Psychology (Q1); Education (Q1)";"Psychology; Social Sciences"
14;18676;"Technology in Society";journal;"0160791X";"Elsevier Ltd";No;No;2,249;Q1;112;228;835;18461;10347;834;11,85;80,97;35,14;23;132;United Kingdom;Western Europe;"Elsevier Ltd";"1979-2025";"Business and International Management (Q1); Education (Q1); Human Factors and Ergonomics (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
15;21101075549;"Postdigital Science and Education";journal;"2524485X, 25244868";"Springer International Publishing AG";No;No;2,155;Q1;36;66;186;2397;1405;96;6,13;36,32;46,88;3;7;Switzerland;Western Europe;"Springer International Publishing AG";"2019-2025";"Arts and Humanities (miscellaneous) (Q1); Education (Q1); Social Sciences (miscellaneous) (Q1)";"Arts and Humanities; Social Sciences"
16;3900148216;"Studies in Second Language Acquisition";journal;"02722631";"Cambridge University Press";No;No;2,124;Q1;122;64;166;4220;781;153;4,20;65,94;55,62;0;4;United Kingdom;Western Europe;"Cambridge University Press";"1978-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
17;23256;"System";journal;"0346251X";"Elsevier Ltd";No;No;2,075;Q1;115;146;461;9456;2905;458;5,64;64,77;42,95;0;21;United Kingdom;Western Europe;"Elsevier Ltd";"1973-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
18;18787;"Higher Education";journal;"00181560, 1573174X";"Springer Netherlands";No;No;2,065;Q1;137;143;396;8373;2784;392;6,45;58,55;55,08;19;48;Netherlands;Western Europe;"Springer Netherlands";"1972-2025";"Education (Q1); Law (Q1)";"Social Sciences"
19;21100873488;"International Journal of STEM Education";journal;"21967822";"SpringerOpen";Yes;No;2,035;Q1;63;68;187;5429;1711;174;7,04;79,84;56,23;3;26;Switzerland;Western Europe;"SpringerOpen";"2014-2025";"Education (Q1)";"Social Sciences"
20;21100451321;"Scientific Data";journal;"20524463";"Nature Research";Yes;No;1,937;Q1;142;894;1477;45284;12260;136;6,01;50,65;34,54;56;314;United Kingdom;Western Europe;"Nature Research";"2014-2025";"Computer Science Applications (Q1); Education (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Computer Science; Decision Sciences; Mathematics; Social Sciences"
21;12859;"Cognition and Instruction";journal;"1532690X, 07370008";"Routledge";No;No;1,933;Q1;99;15;58;1421;246;58;3,66;94,73;67,39;1;3;United Kingdom;Western Europe;"Routledge";"1984-2025";"Applied Psychology (Q1); Developmental and Educational Psychology (Q1); Education (Q1); Experimental and Cognitive Psychology (Q1); Psychology (miscellaneous) (Q1)";"Psychology; Social Sciences"
22;23145;"Language Learning";journal;"14679922, 00238333";"Wiley-Blackwell Publishing Ltd";No;No;1,908;Q1;141;89;127;3809;620;122;4,52;42,80;57,48;0;11;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1948-1953, 1955-1956, 1958-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
23;5700163257;"International Journal of Qualitative Methods";journal;"16094069";"SAGE Publications Inc.";Yes;No;1,898;Q1;94;234;544;12177;3182;526;4,03;52,04;71,00;11;84;United Kingdom;Western Europe;"SAGE Publications Inc.";"2002-2025";"Education (Q1)";"Social Sciences"
24;21100301445;"Journal of Research on Technology in Education";journal;"19450818, 15391523";"Taylor and Francis Ltd.";No;No;1,866;Q1;80;80;111;5423;980;108;8,49;67,79;50,44;4;16;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2001-2025";"Computer Science Applications (Q1); Education (Q1)";"Computer Science; Social Sciences"
25;200147125;"Learning, Media and Technology";journal;"17439892, 17439884";"Routledge";No;No;1,852;Q1;69;61;113;3219;1016;102;5,20;52,77;60,00;11;17;United Kingdom;Western Europe;"Routledge";"2005-2025";"Education (Q1); Media Technology (Q1)";"Engineering; Social Sciences"
26;26183;"Journal of Computer Assisted Learning";journal;"13652729, 02664909";"Wiley-Blackwell Publishing Ltd";No;No;1,842;Q1;121;128;310;9360;2244;309;6,89;73,13;45,64;7;61;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1985-2025";"Computer Science Applications (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
27;30074;"Journal of School Psychology";journal;"00224405, 18733506";"Elsevier Ltd";No;No;1,840;Q1;119;55;151;5498;760;149;3,81;99,96;65,33;3;25;United Kingdom;Western Europe;"Elsevier Ltd";"1963-1968, 1970-2025";"Developmental and Educational Psychology (Q1); Education (Q1)";"Psychology; Social Sciences"
28;19700187630;"Critical Studies in Education";journal;"17508495, 17508487";"Taylor and Francis Ltd.";No;No;1,819;Q1;52;31;122;1818;716;116;6,74;58,65;57,81;1;14;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2025";"Education (Q1)";"Social Sciences"
29;5600153363;"Equity and Excellence in Education";journal;"10665684";"Taylor and Francis Ltd.";No;No;1,789;Q1;63;48;112;2179;345;99;2,93;45,40;60,22;0;10;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1963-1982, 1984, 1986-1988, 1991, 1993-2025";"Education (Q1)";"Social Sciences"
