Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;21100792090;"Journal of Artificial Intelligence and Soft Computing Research";journal;"24496499, 20832567";"De Gruyter Open Ltd";Yes;No;1,221;Q2;29;20;68;897;265;67;5,48;44,85;20,73;0;2;Poland;Eastern Europe;"De Gruyter Open Ltd";"2013-2025";"Computer Vision and Pattern Recognition (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Modeling and Simulation (Q1); Artificial Intelligence (Q2)";"Computer Science; Mathematics"
2;21100810658;"Paladyn";journal;"20814836";"Walter de Gruyter GmbH";Yes;No;0,517;Q3;31;33;92;1981;256;91;2,64;60,03;33,33;1;5;Poland;Eastern Europe;"Walter de Gruyter GmbH";"2010-2024";"Artificial Intelligence (Q3); Behavioral Neuroscience (Q3); Cognitive Neuroscience (Q3); Developmental Neuroscience (Q3); Human-Computer Interaction (Q3)";"Computer Science; Neuroscience"
3;21100818722;"Cybernetics and Physics";journal;"22237038, 22264116";"Institute of Problems of Mechanical Engineering, Russian Academy of Sciences";Yes;Yes;0,363;Q3;12;36;94;805;109;94;1,16;22,36;22,67;0;2;Russian Federation;Eastern Europe;"Institute of Problems of Mechanical Engineering, Russian Academy of Sciences";"2016-2024";"Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3); Control and Optimization (Q3); Fluid Flow and Transfer Processes (Q3); Physics and Astronomy (miscellaneous) (Q3); Signal Processing (Q3)";"Chemical Engineering; Computer Science; Mathematics; Physics and Astronomy"
4;24802;"Neural Network World";journal;"23364335, 12100552";"Czech Technical University in Prague";No;No;0,345;Q3;30;22;81;578;140;80;1,69;26,27;19,57;0;5;Czech Republic;Eastern Europe;"Czech Technical University in Prague";"1994-2023";"Artificial Intelligence (Q3); Hardware and Architecture (Q3); Software (Q3); Neuroscience (miscellaneous) (Q4)";"Computer Science; Neuroscience"
5;13427;"Bulletin of the Polish Academy of Sciences: Technical Sciences";journal;"23001917, 02397528";"Polish Academy of Sciences";Yes;No;0,340;Q3;50;186;380;5880;669;377;1,70;31,61;22,84;2;33;Poland;Eastern Europe;"Polish Academy of Sciences";"1983-1988, 2004-2025";"Engineering (miscellaneous) (Q2); Artificial Intelligence (Q3); Atomic and Molecular Physics, and Optics (Q3); Computer Networks and Communications (Q3); Information Systems (Q3)";"Computer Science; Engineering; Physics and Astronomy"
6;25507;"Informatica (Slovenia)";journal;"18543871, 03505596";"Slovene Society Informatika";Yes;No;0,299;Q4;40;109;174;3559;218;168;1,27;32,65;32,95;1;20;Slovenia;Eastern Europe;"Slovene Society Informatika";"1995-2025";"Computer Science Applications (Q3); Artificial Intelligence (Q4); Software (Q4); Theoretical Computer Science (Q4)";"Computer Science; Mathematics"
7;21100793186;"SPIIRAS Proceedings";journal;"20789181, 20789599";"St. Petersburg Institute for Informatics and Automation of the Russian academy of sciences";Yes;Yes;0,267;Q4;0;0;0;0;0;0;0,00;0,00;0,00;0;0;Russian Federation;Eastern Europe;"St. Petersburg Institute for Informatics and Automation of the Russian academy of sciences";"2016-2020";"Applied Mathematics (Q3); Computer Networks and Communications (Q3); Control and Systems Engineering (Q3); Artificial Intelligence (Q4)";"Computer Science; Engineering; Mathematics"
8;24449;"Kybernetika";journal;"00235954, 1805949X";"Academy of Sciences of the Czech Republic";Yes;No;0,247;Q4;43;72;172;1887;166;157;0,73;26,21;25,71;0;0;Czech Republic;Eastern Europe;"Academy of Sciences of the Czech Republic";"1972-1989, 1996-2024";"Electrical and Electronic Engineering (Q3); Information Systems (Q3); Artificial Intelligence (Q4); Control and Systems Engineering (Q4); Software (Q4); Theoretical Computer Science (Q4)";"Computer Science; Engineering; Mathematics"
9;130045;"Journal of Applied Biomedicine";journal;"12140287, 1214021X";"University of South Bohemia in Ceske Budejovice Faculty of Health and Social Sciences";Yes;No;0,246;-;40;26;98;1105;158;98;0,62;42,50;40,88;0;12;Czech Republic;Eastern Europe;"University of South Bohemia in Ceske Budejovice Faculty of Health and Social Sciences";"2005-2024";"Agricultural and Biological Sciences (miscellaneous) (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Medicine (miscellaneous) (Q3); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q3); Neuroscience (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
10;21101000293;"Mekhatronika, Avtomatizatsiya, Upravlenie";journal;"16846427, 26191253";"New Technologies Publishing House";No;No;0,235;Q4;6;74;167;1547;70;167;0,42;20,91;21,92;0;3;Russian Federation;Eastern Europe;"New Technologies Publishing House";"2019-2025";"Electrical and Electronic Engineering (Q3); Artificial Intelligence (Q4); Computer Science Applications (Q4); Control and Systems Engineering (Q4); Human-Computer Interaction (Q4); Software (Q4)";"Computer Science; Engineering"
