Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;11800154593;"Strategic Organization";journal;"1741315X, 14761270";"SAGE Publications Ltd";No;No;4,284;Q1;80;47;79;3899;488;74;6,17;82,96;33,94;3;5;United Kingdom;Western Europe;"SAGE Publications Ltd";"2003-2025";"Business and International Management (Q1); Education (Q1); Industrial Relations (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Social Sciences"
2;21100403241;"Research Synthesis Methods";journal;"17592879, 17592887";"Cambridge University Press";No;No;3,991;Q1;77;68;176;2854;1902;167;9,76;41,97;49,23;8;8;United Kingdom;Western Europe;"Cambridge University Press";"2010-2024";"Education (Q1)";"Social Sciences"
3;17645;"Computers and Education";journal;"03601315";"Elsevier Ltd";No;No;3,682;Q1;253;185;608;14309;9358;606;14,54;77,35;47,42;25;81;United Kingdom;Western Europe;"Elsevier Ltd";"1976-2025";"Computer Science (miscellaneous) (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
4;16965;"Internet and Higher Education";journal;"10967516";"Elsevier B.V.";No;No;3,327;Q1;124;25;72;1811;844;72;11,18;72,44;43,08;1;11;United Kingdom;Western Europe;"Elsevier B.V.";"1998-2025";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
5;4700152248;"Educational Research Review";journal;"1747938X";"Elsevier Ltd";No;No;3,269;Q1;117;58;110;5753;1512;109;12,06;99,19;53,77;14;20;United Kingdom;Western Europe;"Elsevier Ltd";"2006-2025";"Education (Q1)";"Social Sciences"
6;21101075549;"Postdigital Science and Education";journal;"2524485X, 25244868";"Springer International Publishing AG";No;No;2,453;Q1;36;50;174;2627;1388;86;8,74;52,54;56,67;11;13;Switzerland;Western Europe;"Springer International Publishing AG";"2019-2025";"Arts and Humanities (miscellaneous) (Q1); Education (Q1); Social Sciences (miscellaneous) (Q1)";"Arts and Humanities; Social Sciences"
7;21100451321;"Scientific Data";journal;"20524463";"Nature Research";Yes;No;2,410;Q1;142;760;1084;35988;10143;153;9,81;47,35;42,34;87;248;United Kingdom;Western Europe;"Nature Research";"2014-2025";"Computer Science Applications (Q1); Education (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Computer Science; Decision Sciences; Mathematics; Social Sciences"
8;21100256106;"Survey Research Methods";journal;"18643361";"European Survey Research Association";Yes;Yes;2,410;Q1;42;21;83;1057;476;82;4,41;50,33;37,04;1;8;United Kingdom;Western Europe;"European Survey Research Association";"2007-2024";"Education (Q1)";"Social Sciences"
9;13455;"Learning and Instruction";journal;"09594752";"Elsevier B.V.";No;No;2,398;Q1;153;97;218;6516;1625;212;6,97;67,18;58,97;12;26;United Kingdom;Western Europe;"Elsevier B.V.";"1991-2025";"Developmental and Educational Psychology (Q1); Education (Q1)";"Psychology; Social Sciences"
10;22497;"Journal of Second Language Writing";journal;"10603743";"Elsevier Ltd";No;No;2,314;Q1;113;37;103;1378;597;87;5,75;37,24;58,54;0;2;United Kingdom;Western Europe;"Elsevier Ltd";"1992-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
11;23145;"Language Learning";journal;"14679922, 00238333";"Wiley-Blackwell Publishing Ltd";No;No;2,195;Q1;141;39;127;2772;743;119;4,75;71,08;56,32;1;4;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1948-1953, 1955-1956, 1958-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
12;30074;"Journal of School Psychology";journal;"00224405, 18733506";"Elsevier Ltd";No;No;2,160;Q1;119;66;148;5545;928;141;4,99;84,02;62,41;6;24;United Kingdom;Western Europe;"Elsevier Ltd";"1963-1968, 1970-2025";"Developmental and Educational Psychology (Q1); Education (Q1)";"Psychology; Social Sciences"
13;23988;"British Journal of Educational Technology";journal;"00071013, 14678535";"Wiley-Blackwell Publishing Ltd";No;No;2,116;Q1;127;103;498;6404;4052;471;7,66;62,17;43,95;12;57;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1970-2025";"Education (Q1); E-learning (Q1)";"Social Sciences"
14;5700152760;"Assessment and Evaluation in Higher Education";journal;"02602938, 1469297X";"Taylor and Francis Ltd.";No;No;2,079;Q1;114;100;262;4549;1600;261;5,88;45,49;61,09;5;24;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1981-2025";"Education (Q1)";"Social Sciences"
15;3900148216;"Studies in Second Language Acquisition";journal;"02722631";"Cambridge University Press";No;No;2,077;Q1;122;61;160;3820;798;142;4,13;62,62;52,48;0;4;United Kingdom;Western Europe;"Cambridge University Press";"1978-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
16;21100466714;"International Journal of Educational Technology in Higher Education";journal;"23659440";"Springer Netherlands";Yes;Yes;2,051;Q1;77;62;164;3689;1861;160;10,01;59,50;49,22;9;25;Netherlands;Western Europe;"Springer Netherlands";"2016-2025";"Computer Science Applications (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
17;23256;"System";journal;"0346251X";"Elsevier Ltd";No;No;1,972;Q1;115;165;403;10105;2540;398;5,85;61,24;49,86;1;23;United Kingdom;Western Europe;"Elsevier Ltd";"1973-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
18;18787;"Higher Education";journal;"00181560, 1573174X";"Springer Netherlands";No;No;1,952;Q1;137;145;373;8614;2229;369;6,06;59,41;57,51;24;66;Netherlands;Western Europe;"Springer Netherlands";"1972-2025";"Education (Q1); Law (Q1)";"Social Sciences"
19;28879;"European Journal of Teacher Education";journal;"14695928, 02619768";"Routledge";No;No;1,892;Q1;65;43;139;2261;1301;124;12,19;52,58;60,82;6;7;United Kingdom;Western Europe;"Routledge";"1982-2025";"Education (Q1)";"Social Sciences"
20;200147125;"Learning, Media and Technology";journal;"17439892, 17439884";"Routledge";No;No;1,879;Q1;69;41;108;1807;916;100;9,03;44,07;67,05;3;11;United Kingdom;Western Europe;"Routledge";"2005-2025";"Education (Q1); Media Technology (Q1)";"Engineering; Social Sciences"
21;200147108;"Distance Education";journal;"14750198, 01587919";"Routledge";No;No;1,878;Q1;74;36;105;1793;791;94;7,54;49,81;58,23;3;21;United Kingdom;Western Europe;"Routledge";"1980-2025";"Education (Q1); E-learning (Q1)";"Social Sciences"
22;145220;"International Journal of Bilingual Education and Bilingualism";journal;"13670050";"Taylor and Francis Ltd.";No;No;1,873;Q1;76;234;252;12454;1252;245;4,44;53,22;69,73;18;56;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2005-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
23;12859;"Cognition and Instruction";journal;"1532690X, 07370008";"Routledge";No;No;1,731;Q1;99;21;61;1327;333;58;5,38;63,19;64,29;2;2;United Kingdom;Western Europe;"Routledge";"1984-2025";"Developmental and Educational Psychology (Q1); Education (Q1); Experimental and Cognitive Psychology (Q1); Psychology (miscellaneous) (Q1)";"Psychology; Social Sciences"
24;20853;"Studies in Higher Education";journal;"03075079, 1470174X";"Routledge";No;No;1,716;Q1;138;171;562;9356;2975;547;4,96;54,71;57,01;28;65;United Kingdom;Western Europe;"Routledge";"1976-2025";"Education (Q1)";"Social Sciences"
25;21101074919;"Computers and Education: Artificial Intelligence";journal;"2666920X";"Elsevier B.V.";Yes;No;1,700;Q1;51;67;39;5100;545;38;13,97;76,12;39,90;16;24;Netherlands;Western Europe;"Elsevier B.V.";"2020-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Education (Q1)";"Computer Science; Social Sciences"
26;5700168406;"Active Learning in Higher Education";journal;"14697874, 17412625";"SAGE Publications Ltd";No;No;1,686;Q1;66;15;59;675;348;50;5,77;45,00;61,70;1;1;United Kingdom;Western Europe;"SAGE Publications Ltd";"2000-2024";"Education (Q1)";"Social Sciences"
27;21100873488;"International Journal of STEM Education";journal;"21967822";"SpringerOpen";Yes;No;1,668;Q1;63;71;160;5361;1327;148;8,05;75,51;55,69;4;29;Switzerland;Western Europe;"SpringerOpen";"2014-2025";"Education (Q1)";"Social Sciences"
28;5700163257;"International Journal of Qualitative Methods";journal;"16094069";"SAGE Publications Inc.";Yes;No;1,664;Q1;94;211;449;11240;2605;427;5,11;53,27;70,54;14;78;United Kingdom;Western Europe;"SAGE Publications Inc.";"2002-2025";"Education (Q1)";"Social Sciences"
29;25961;"Educational Studies in Mathematics";journal;"15730816, 00131954";"Springer Netherlands";No;No;1,636;Q1;89;80;215;4360;808;200;3,48;54,50;48,24;4;6;Netherlands;Western Europe;"Springer Netherlands";"1968-2025";"Education (Q1); Mathematics (miscellaneous) (Q1)";"Mathematics; Social Sciences"
30;77191;"Early Childhood Research Quarterly";journal;"08852006";"Elsevier Ltd";No;No;1,630;Q1;125;108;370;7545;1646;363;3,77;69,86;76,52;26;45;United Kingdom;Western Europe;"Elsevier Ltd";"1986-2025";"Developmental and Educational Psychology (Q1); Education (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
31;26183;"Journal of Computer Assisted Learning";journal;"13652729, 02664909";"Wiley-Blackwell Publishing Ltd";No;No;1,629;Q1;121;117;256;8401;1633;255;5,94;71,80;49,10;6;48;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1985-2025";"Computer Science Applications (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
32;17806;"Medical Education";journal;"13652923, 03080110";"John Wiley and Sons Inc";No;No;1,629;Q1;171;249;826;6254;2482;455;2,97;25,12;60,04;8;39;United Kingdom;Western Europe;"John Wiley and Sons Inc";"1966-2025";"Education (Q1); Medicine (miscellaneous) (Q1)";"Medicine; Social Sciences"
33;21100903415;"Journal of Professional Capital and Community";journal;"20569548, 20569556";"Emerald Group Publishing Ltd.";No;No;1,618;Q1;27;26;79;1479;390;75;5,70;56,88;48,21;0;6;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2016-2025";"Communication (Q1); Education (Q1); Social Psychology (Q1)";"Psychology; Social Sciences"
34;23316;"Teaching and Teacher Education";journal;"0742051X";"Elsevier Ltd";No;No;1,616;Q1;170;276;626;20108;3108;623;4,53;72,86;63,35;37;64;United Kingdom;Western Europe;"Elsevier Ltd";"1985-2025";"Education (Q1)";"Social Sciences"
35;144669;"Journal of Intellectual Capital";journal;"14691930";"Emerald Group Publishing Ltd.";No;No;1,582;Q1;118;58;155;6231;1197;146;6,85;107,43;29,76;0;43;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2000-2025";"Business, Management and Accounting (miscellaneous) (Q1); Education (Q1)";"Business, Management and Accounting; Social Sciences"
36;19700201158;"Studies in Science Education";journal;"19408412, 03057267";"Taylor and Francis Ltd.";No;No;1,568;Q1;58;9;18;732;125;18;8,42;81,33;30,00;1;2;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1974-2025";"Education (Q1)";"Social Sciences"
37;5800185422;"Theory and Research in Social Education";journal;"00933104, 21631654";"Taylor and Francis Ltd.";No;No;1,561;Q1;52;20;64;2022;233;61;3,78;101,10;44,74;1;6;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1973-2025";"Education (Q1); Sociology and Political Science (Q1)";"Social Sciences"
38;19490;"Journal of Higher Education";journal;"15384640, 00221546";"Taylor and Francis Ltd.";No;No;1,550;Q1;110;38;126;2398;444;123;3,11;63,11;59,43;6;11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1994, 1996-2025";"Education (Q1)";"Social Sciences"
39;19700187630;"Critical Studies in Education";journal;"17508495, 17508487";"Taylor and Francis Ltd.";No;No;1,513;Q1;52;37;113;1988;507;109;4,60;53,73;73,77;5;15;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2025";"Education (Q1)";"Social Sciences"
40;18676;"Technology in Society";journal;"0160791X";"Elsevier Ltd";No;No;1,491;Q1;112;305;634;25018;6044;634;9,69;82,03;38,59;46;179;United Kingdom;Western Europe;"Elsevier Ltd";"1979-2025";"Business and International Management (Q1); Education (Q1); Human Factors and Ergonomics (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
41;21101044934;"npj Science of Learning";journal;"20567936";"Nature Publishing Group";Yes;No;1,468;Q1;32;32;75;1854;413;72;4,51;57,94;43,11;4;8;United Kingdom;Western Europe;"Nature Publishing Group";"2016-2025";"Developmental Neuroscience (Q1); Education (Q1)";"Neuroscience; Social Sciences"
42;18300156704;"Higher Education Research and Development";journal;"14698366, 07294360";"Taylor and Francis Ltd.";No;No;1,462;Q1;99;165;320;7425;1574;316;4,59;45,00;60,09;13;53;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1982-1995, 1997, 1999-2025";"Education (Q1)";"Social Sciences"
43;21100922758;"Journal of Computers in Education";journal;"21979995, 21979987";"Springer Berlin";No;No;1,442;Q1;31;28;71;1787;530;69;8,62;63,82;39,73;6;10;Germany;Western Europe;"Springer Berlin";"2019-2025";"Computer Science Applications (Q1); Education (Q1)";"Computer Science; Social Sciences"
44;23167;"Language Teaching Research";journal;"13621688, 14770954";"SAGE Publications Ltd";No;No;1,440;Q1;91;147;134;9344;759;122;5,96;63,56;50,18;0;16;United Kingdom;Western Europe;"SAGE Publications Ltd";"1997-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
45;5600153363;"Equity and Excellence in Education";journal;"10665684";"Taylor and Francis Ltd.";No;No;1,430;Q1;63;35;120;1481;235;101;2,04;42,31;65,38;0;14;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1963-1982, 1984, 1986-1988, 1991, 1993-2025";"Education (Q1)";"Social Sciences"
46;5700164380;"Comunicar";journal;"19883293, 11343478";"Grupo Comunicar Ediciones";Yes;Yes;1,412;Q1;61;40;124;1923;812;124;5,94;48,08;46,15;0;13;Spain;Western Europe;"Grupo Comunicar Ediciones";"2008-2023";"Communication (Q1); Cultural Studies (Q1); Education (Q1)";"Social Sciences"
47;20323;"Journal of Education Policy";journal;"02680939, 14645106";"Routledge";No;No;1,410;Q1;94;45;124;3100;509;120;4,30;68,89;48,35;10;16;United Kingdom;Western Europe;"Routledge";"1986-2025";"Education (Q1)";"Social Sciences"
48;21100217601;"ZDM - International Journal on Mathematics Education";journal;"18639704, 18639690";"Springer Verlag";No;No;1,403;Q1;74;111;309;4987;1235;305;4,01;44,93;50,19;2;11;Germany;Western Europe;"Springer Verlag";"1997-2025";"Education (Q1); Mathematics (miscellaneous) (Q1)";"Mathematics; Social Sciences"
