Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;21100403241;"Research Synthesis Methods";journal;"17592879, 17592887";"Cambridge University Press";No;No;3,376;Q1;77;66;139;3110;933;130;4,86;47,12;36,49;20;7;United Kingdom;Western Europe;"Cambridge University Press";"2010-2024";"Education (Q1)";"Social Sciences"
2;4700152248;"Educational Research Review";journal;"1747938X";"Elsevier Ltd";No;No;3,277;Q1;117;47;90;5133;1183;89;9,43;109,21;62,05;25;16;United Kingdom;Western Europe;"Elsevier Ltd";"2006-2025";"Education (Q1)";"Social Sciences"
3;16965;"Internet and Higher Education";journal;"10967516";"Elsevier B.V.";No;No;3,143;Q1;124;23;73;1486;761;73;8,89;64,61;42,47;5;8;United Kingdom;Western Europe;"Elsevier B.V.";"1998-2025";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
4;11800154593;"Strategic Organization";journal;"1741315X, 14761270";"SAGE Publications Ltd";No;No;3,135;Q1;80;24;73;2072;329;69;3,98;86,33;39,68;3;4;United Kingdom;Western Europe;"SAGE Publications Ltd";"2003-2025";"Business and International Management (Q1); Education (Q1); Industrial Relations (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Social Sciences"
5;17645;"Computers and Education";journal;"03601315";"Elsevier Ltd";No;No;3,026;Q1;253;228;558;16465;6211;555;10,77;72,21;46,01;71;107;United Kingdom;Western Europe;"Elsevier Ltd";"1976-2025";"Computer Science (miscellaneous) (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
6;23145;"Language Learning";journal;"14679922, 00238333";"Wiley-Blackwell Publishing Ltd";No;No;2,882;Q1;141;50;118;3575;567;112;4,08;71,50;56,52;3;7;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1948-1953, 1955-1956, 1958-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
7;21100451321;"Scientific Data";journal;"20524463";"Nature Research";Yes;No;2,565;Q1;142;426;858;18305;5861;567;5,80;42,97;32,82;109;144;United Kingdom;Western Europe;"Nature Research";"2014-2025";"Computer Science Applications (Q1); Education (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Computer Science; Decision Sciences; Mathematics; Social Sciences"
8;12859;"Cognition and Instruction";journal;"1532690X, 07370008";"Routledge";No;No;2,555;Q1;99;20;58;1571;251;52;3,63;78,55;54,76;1;5;United Kingdom;Western Europe;"Routledge";"1984-2025";"Developmental and Educational Psychology (Q1); Education (Q1); Experimental and Cognitive Psychology (Q1); Psychology (miscellaneous) (Q1)";"Psychology; Social Sciences"
9;13455;"Learning and Instruction";journal;"09594752";"Elsevier B.V.";No;No;2,320;Q1;153;55;233;3722;1257;232;5,30;67,67;50,86;17;18;United Kingdom;Western Europe;"Elsevier B.V.";"1991-2025";"Developmental and Educational Psychology (Q1); Education (Q1)";"Psychology; Social Sciences"
10;20323;"Journal of Education Policy";journal;"02680939, 14645106";"Routledge";No;No;2,274;Q1;94;43;126;2905;512;123;3,23;67,56;62,96;18;18;United Kingdom;Western Europe;"Routledge";"1986-2025";"Education (Q1)";"Social Sciences"
11;3900148216;"Studies in Second Language Acquisition";journal;"02722631";"Cambridge University Press";No;No;2,207;Q1;122;48;123;2935;474;117;3,78;61,15;58,56;0;1;United Kingdom;Western Europe;"Cambridge University Press";"1978-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
12;19490;"Journal of Higher Education";journal;"15384640, 00221546";"Taylor and Francis Ltd.";No;No;2,168;Q1;110;44;109;2692;366;109;2,85;61,18;55,24;13;11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1994, 1996-2025";"Education (Q1)";"Social Sciences"
13;22497;"Journal of Second Language Writing";journal;"10603743";"Elsevier Ltd";No;No;2,168;Q1;113;30;99;1619;385;70;3,32;53,97;51,85;4;2;United Kingdom;Western Europe;"Elsevier Ltd";"1992-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
14;30074;"Journal of School Psychology";journal;"00224405, 18733506";"Elsevier Ltd";No;No;1,988;Q1;119;35;171;2883;679;162;3,29;82,37;67,48;10;17;United Kingdom;Western Europe;"Elsevier Ltd";"1963-1968, 1970-2025";"Developmental and Educational Psychology (Q1); Education (Q1)";"Psychology; Social Sciences"
15;23316;"Teaching and Teacher Education";journal;"0742051X";"Elsevier Ltd";No;No;1,966;Q1;170;166;660;11324;2823;658;3,49;68,22;61,47;37;46;United Kingdom;Western Europe;"Elsevier Ltd";"1985-2025";"Education (Q1)";"Social Sciences"
16;5700152760;"Assessment and Evaluation in Higher Education";journal;"02602938, 1469297X";"Taylor and Francis Ltd.";No;No;1,947;Q1;114;90;275;4045;1213;275;4,31;44,94;52,71;16;30;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1981-2025";"Education (Q1)";"Social Sciences"
17;5800185422;"Theory and Research in Social Education";journal;"00933104, 21631654";"Taylor and Francis Ltd.";No;No;1,926;Q1;52;20;57;1758;182;53;3,24;87,90;46,67;1;7;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1973-2025";"Education (Q1); Sociology and Political Science (Q1)";"Social Sciences"
18;66374;"Journal of Educational Measurement";journal;"00220655";"Wiley-Blackwell Publishing Ltd";No;No;1,917;Q1;61;31;91;898;154;88;1,25;28,97;35,85;3;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1964-2025";"Applied Psychology (Q1); Developmental and Educational Psychology (Q1); Education (Q1); Psychology (miscellaneous) (Q1)";"Psychology; Social Sciences"
