Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
18;21101066748;"Health, Sport, Rehabilitation";journal;"25202677, 25202685";"Springer Nature";Yes;No;0,331;Q3;8;35;91;1181;147;91;1,52;33,74;45,07;0;4;Ukraine;Eastern Europe;"Springer Nature";"2019-2024";"Complementary and Manual Therapy (Q2); Education (Q3); Occupational Therapy (Q3); Orthopedics and Sports Medicine (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3); Rehabilitation (Q3)";"Health Professions; Medicine; Social Sciences"
19;21101037306;"Journal of Teaching English for Specific and Academic Purposes";journal;"23349182, 23349212";"University of Nis";No;No;0,330;Q3;6;52;159;1667;139;158;0,98;32,06;68,83;0;19;Serbia;Eastern Europe;"University of Nis";"2019-2025";"Education (Q3)";"Social Sciences"
20;21101138521;"Journal of Education Culture and Society";journal;"20811640";"Pro Scientia Publica Foundation";Yes;No;0,323;Q3;14;86;234;2873;269;233;1,21;33,41;57,87;0;33;Poland;Eastern Europe;"Pro Scientia Publica Foundation";"2019-2024";"History (Q1); History and Philosophy of Science (Q2); Sociology and Political Science (Q2); Education (Q3); Psychology (miscellaneous) (Q3)";"Arts and Humanities; Psychology; Social Sciences"
21;21100942842;"Physical Education Theory and Methodology";journal;"19937997, 19937989";"OVS LLC";Yes;No;0,318;Q3;16;120;269;4672;544;269;1,84;38,93;33,64;0;26;Ukraine;Eastern Europe;"OVS LLC";"2019-2024";"Education (Q3); Health (social science) (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3); Public Health, Environmental and Occupational Health (Q3)";"Health Professions; Medicine; Social Sciences"
22;21101125267;"Russian Language at School";journal;"26190966, 01316141";"Nash Language Limited Liability Company";No;No;0,309;Q3;3;69;188;921;25;187;0,14;13,35;81,44;0;6;Russian Federation;Eastern Europe;"Nash Language Limited Liability Company";"2019-2025";"Linguistics and Language (Q2); Education (Q3)";"Social Sciences"
23;21100451188;"European Journal of Adapted Physical Activity";journal;"18033857";"European Federation of Adapted Physical Activity";Yes;Yes;0,308;Q3;12;3;37;227;39;37;0,91;75,67;50,00;0;0;Czech Republic;Eastern Europe;"European Federation of Adapted Physical Activity";"2015-2024";"Education (Q3); Health (social science) (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3); Social Psychology (Q3)";"Health Professions; Psychology; Social Sciences"
24;21100837232;"Epistemology and Philosophy of Science";journal;"1811833X, 23117133";"Institute of Philosophy, Russian Academy of Sciences";Yes;No;0,299;Q3;10;63;215;1494;62;211;0,27;23,71;35,38;0;1;Russian Federation;Eastern Europe;"Institute of Philosophy, Russian Academy of Sciences";"2017-2024";"Cultural Studies (Q1); Arts and Humanities (miscellaneous) (Q2); History and Philosophy of Science (Q2); Philosophy (Q2); Education (Q3)";"Arts and Humanities; Social Sciences"
25;21100805726;"Voprosy Obrazovaniya / Educational Studies Moscow";journal;"24124354, 18149545";"National Research University Higher School of Economics";Yes;Yes;0,298;Q3;19;42;132;2259;138;132;1,14;53,79;72,92;0;24;Russian Federation;Eastern Europe;"National Research University Higher School of Economics";"2012-2024";"Education (Q3)";"Social Sciences"
26;21100970321;"Chemistry, Didactics, Ecology, Metrology";journal;"16409019, 20844506";"Sciendo";No;No;0,288;Q3;5;8;30;337;33;30;1,20;42,13;38,46;0;5;Poland;Eastern Europe;"Sciendo";"2019-2023";"Ecology (Q3); Education (Q3); Environmental Engineering (Q3); Environmental Chemistry (Q4)";"Environmental Science; Social Sciences"
27;19900193932;"Informacios Tarsadalom";journal;"15878694";"Infonia";No;No;0,283;Q3;7;19;83;541;89;81;1,00;28,47;26,92;0;3;Hungary;Eastern Europe;"Infonia";"2008-2024";"Communication (Q2); Education (Q3); Management of Technology and Innovation (Q3); Social Psychology (Q4)";"Business, Management and Accounting; Psychology; Social Sciences"
28;21100996943;"Psychological Science and Education";journal;"18142052, 23117273";"Moscow State University of Psychology and Education";Yes;Yes;0,277;Q3;17;68;196;2337;188;192;0,91;34,37;72,93;0;24;Russian Federation;Eastern Europe;"Moscow State University of Psychology and Education";"1999, 2004-2024";"Developmental and Educational Psychology (Q3); Education (Q3); Psychology (miscellaneous) (Q3); Social Psychology (Q4)";"Psychology; Social Sciences"
29;21100220434;"Science of Gymnastics Journal";journal;"22322639, 18557171";"University of Ljubljana Press";Yes;Yes;0,276;Q3;15;42;106;1302;67;93;0,60;31,00;40,71;0;4;Slovenia;Eastern Europe;"University of Ljubljana Press";"2012-2024";"Education (Q3); Orthopedics and Sports Medicine (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3)";"Health Professions; Medicine; Social Sciences"
30;21100910239;"Journal of Elementary Education";journal;"23504803, 18554431";"University of Maribor Press";Yes;Yes;0,275;Q3;8;40;103;1422;75;100;0,64;35,55;76,92;0;10;Slovenia;Eastern Europe;"University of Maribor Press";"2015-2024";"Developmental and Educational Psychology (Q3); Education (Q3)";"Psychology; Social Sciences"
31;21101248337;"Advanced Education";journal;"24093351, 24108286";"National Technical University of Ukraine Igor Sikorsky Kyiv Polytechnic Institute";Yes;No;0,273;Q3;7;21;86;813;77;86;0,87;38,71;69,77;0;5;Ukraine;Eastern Europe;"National Technical University of Ukraine Igor Sikorsky Kyiv Polytechnic Institute";"2020-2024";"Education (Q3)";"Social Sciences"
32;21101055930;"Open Education Studies";journal;"25447831";"Walter de Gruyter GmbH";Yes;No;0,273;Q3;11;70;75;4456;104;75;1,16;63,66;53,95;0;38;Poland;Eastern Europe;"Walter de Gruyter GmbH";"2019-2025";"Social Sciences (miscellaneous) (Q2); Education (Q3); Developmental and Educational Psychology (Q4)";"Psychology; Social Sciences"
33;21100898602;"Vysshee Obrazovanie v Rossii";journal;"08693617, 20720459";"Moscow Polytechnic University";Yes;Yes;0,273;Q3;15;88;357;3039;322;357;1,21;34,53;63,27;0;39;Russian Federation;Eastern Europe;"Moscow Polytechnic University";"2018-2025";"Philosophy (Q2); Sociology and Political Science (Q2); Education (Q3)";"Arts and Humanities; Social Sciences"
34;21100792737;"International Journal of Cognitive Research in Science, Engineering and Education";journal;"2334847X, 23348496";"Association for the Development of Science, Engineering and Education";Yes;No;0,269;Q3;17;55;127;2336;154;122;1,12;42,47;57,14;0;19;Serbia;Eastern Europe;"Association for the Development of Science, Engineering and Education";"2013-2024";"Education (Q3); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4)";"Neuroscience; Psychology; Social Sciences"
35;21100829711;"ELOPE: English Language Overseas Perspectives and Enquiries";journal;"15818918, 23860316";"Ljubljana University Press";Yes;Yes;0,265;Q3;5;23;61;1060;24;58;0,37;46,09;64,29;0;4;Slovenia;Eastern Europe;"Ljubljana University Press";"2015-2024";"Literature and Literary Theory (Q1); Linguistics and Language (Q2); Education (Q3)";"Arts and Humanities; Social Sciences"
36;21101030204;"Journal of Women's Entrepreneurship and Education";journal;"18211283, 24060674";"Institute of Economic Sciences";Yes;No;0,259;Q3;10;26;79;1326;164;73;2,40;51,00;42,11;0;22;Serbia;Eastern Europe;"Institute of Economic Sciences";"2019-2024";"Business, Management and Accounting (miscellaneous) (Q3); Education (Q3); Gender Studies (Q3)";"Business, Management and Accounting; Social Sciences"
37;21100896893;"Frontiers of Nursing";journal;"25448994";"Sciendo";Yes;Yes;0,254;Q3;9;51;157;1757;107;156;0,50;34,45;64,63;0;23;Poland;Eastern Europe;"Sciendo";"2018-2024";"Education (Q3); Nursing (miscellaneous) (Q3)";"Nursing; Social Sciences"
38;21101042128;"Juridical Tribune";journal;"22477195, 22480382";"Bucharest University of Economic Studies";Yes;Yes;0,251;Q3;9;0;99;0;142;99;1,61;0,00;0,00;0;0;Romania;Eastern Europe;"Bucharest University of Economic Studies";"2019-2023";"Law (Q2); Education (Q3); Political Science and International Relations (Q3); Public Administration (Q3)";"Social Sciences"
39;21100831441;"TEM Journal";journal;"22178309, 22178333";"UIKTEN - Association for Information Communication Technology Education and Science";Yes;No;0,242;Q3;26;338;774;11543;1103;774;1,35;34,15;44,82;0;136;Serbia;Eastern Europe;"UIKTEN - Association for Information Communication Technology Education and Science";"2017-2024";"Computer Science (miscellaneous) (Q3); Education (Q3); Information Systems (Q3); Information Systems and Management (Q3); Management of Technology and Innovation (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
40;21100781490;"Studies About Languages";journal;"16482824, 20297203";"Kauno Technologijos Universitetas";Yes;Yes;0,237;Q3;7;16;48;597;33;48;0,47;37,31;85,71;0;0;Lithuania;Eastern Europe;"Kauno Technologijos Universitetas";"2016-2024";"Archeology (arts and humanities) (Q2); Linguistics and Language (Q2); Education (Q3)";"Arts and Humanities; Social Sciences"
