Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;21100794681;"Studies in Second Language Learning and Teaching";journal;"20835205, 20841965";"Adam Mickiewicz University";Yes;Yes;1,070;Q1;33;28;86;1764;267;74;3,00;63,00;61,40;0;2;Poland;Eastern Europe;"Adam Mickiewicz University";"2016-2024";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
2;4100151705;"Informatics in Education";journal;"16485831";"Vilnius University Institute of Data Science and Digital Technologies";Yes;Yes;0,649;Q2;35;31;82;1443;332;82;3,60;46,55;42,05;1;13;Lithuania;Eastern Europe;"Vilnius University Institute of Data Science and Digital Technologies";"2006-2024";"Communication (Q1); Computer Science Applications (Q2); Education (Q2)";"Computer Science; Social Sciences"
3;21101040697;"Russian Language Studies";journal;"26188171, 26188163";"RUDN University";Yes;Yes;0,570;Q2;7;32;86;689;49;84;0,55;21,53;84,21;2;6;Russian Federation;Eastern Europe;"RUDN University";"2018-2024";"Linguistics and Language (Q1); Education (Q2)";"Social Sciences"
4;17700156732;"Journal of Teacher Education for Sustainability";journal;"16914147, 16915534";"De Gruyter Open Ltd";Yes;No;0,420;Q2;25;24;66;1000;140;60;2,43;41,67;62,50;1;21;Poland;Eastern Europe;"De Gruyter Open Ltd";"2007-2024";"Education (Q2)";"Social Sciences"
5;21100790713;"European Journal of Contemporary Education (discontinued)";journal;"23049650, 23056746";"Cherkas Global University Press";Yes;No;0,392;Q2;26;118;243;4122;432;243;1,94;34,93;61,70;2;49;Slovakia;Eastern Europe;"Cherkas Global University Press";"2016-2023";"Education (Q2)";"Social Sciences"
6;19700182688;"Journal of Baltic Science Education";journal;"16483898";"Scientific Methodical Center";Yes;No;0,388;Q2;29;78;217;3882;350;205;1,54;49,77;52,26;2;21;Lithuania;Eastern Europe;"Scientific Methodical Center";"2008-2024";"Education (Q2)";"Social Sciences"
7;21100805726;"Voprosy Obrazovaniya / Educational Studies Moscow";journal;"24124354, 18149545";"National Research University Higher School of Economics";Yes;Yes;0,378;Q2;19;41;150;1734;193;149;1,27;42,29;72,55;1;23;Russian Federation;Eastern Europe;"National Research University Higher School of Economics";"2012-2024";"Education (Q2)";"Social Sciences"
8;21100854757;"Open Archaeology";journal;"23006560";"Walter de Gruyter GmbH";Yes;No;0,376;Q2;18;62;149;4704;143;145;1,03;75,87;38,79;1;4;Poland;Eastern Europe;"Walter de Gruyter GmbH";"2015-2025";"Archeology (arts and humanities) (Q1); Conservation (Q1); Education (Q2)";"Arts and Humanities; Social Sciences"
9;21101072016;"Neofilolog";journal;"14292173, 25453971";"Polskie Towarzystwo Neofilologiczne";Yes;Yes;0,372;Q3;4;39;130;1077;29;119;0,14;27,62;83,33;0;15;Poland;Eastern Europe;"Polskie Towarzystwo Neofilologiczne";"2019-2024";"Linguistics and Language (Q1); Education (Q3)";"Social Sciences"
10;21101055930;"Open Education Studies";journal;"25447831";"Walter de Gruyter GmbH";Yes;No;0,343;Q3;11;22;68;1242;108;67;1,46;56,45;49,21;3;6;Poland;Eastern Europe;"Walter de Gruyter GmbH";"2019-2025";"Social Sciences (miscellaneous) (Q2); Developmental and Educational Psychology (Q3); Education (Q3)";"Psychology; Social Sciences"
