Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;21100794681;"Studies in Second Language Learning and Teaching";journal;"20835205, 20841965";"Adam Mickiewicz University";Yes;Yes;1,455;Q1;33;32;84;1646;299;72;2,96;51,44;39,71;0;3;Poland;Eastern Europe;"Adam Mickiewicz University";"2016-2024";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
2;4100151705;"Informatics in Education";journal;"16485831";"Vilnius University Institute of Data Science and Digital Technologies";Yes;Yes;0,813;Q1;35;30;93;1696;357;92;3,19;56,53;29,11;0;8;Lithuania;Eastern Europe;"Vilnius University Institute of Data Science and Digital Technologies";"2006-2024";"Communication (Q1); Education (Q1); Computer Science Applications (Q2)";"Computer Science; Social Sciences"
3;17700156732;"Journal of Teacher Education for Sustainability";journal;"16914147, 16915534";"De Gruyter Open Ltd";Yes;No;0,568;Q2;25;24;68;1102;191;62;2,93;45,92;64,41;0;22;Poland;Eastern Europe;"De Gruyter Open Ltd";"2007-2024";"Education (Q2)";"Social Sciences"
4;21101040697;"Russian Language Studies";journal;"26188171, 26188163";"RUDN University";Yes;Yes;0,473;Q2;7;33;92;826;60;92;0,73;25,03;73,91;0;7;Russian Federation;Eastern Europe;"RUDN University";"2018-2024";"Linguistics and Language (Q1); Education (Q2)";"Social Sciences"
5;19700182688;"Journal of Baltic Science Education";journal;"16483898";"Scientific Methodical Center";Yes;No;0,390;Q2;29;75;224;3759;323;213;1,18;50,12;46,60;0;32;Lithuania;Eastern Europe;"Scientific Methodical Center";"2008-2024";"Education (Q2)";"Social Sciences"
6;21100854757;"Open Archaeology";journal;"23006560";"Walter de Gruyter GmbH";Yes;No;0,381;Q2;18;75;178;6532;178;173;1,01;87,09;49,49;0;20;Poland;Eastern Europe;"Walter de Gruyter GmbH";"2015-2025";"Archeology (arts and humanities) (Q1); Conservation (Q1); Education (Q2)";"Arts and Humanities; Social Sciences"
7;21101128483;"Scientific Herald of Uzhhorod University. Series Physics (discontinued)";journal;"24158038";"Uzhhorod National University";No;No;0,381;-;11;13;24;377;132;24;7,33;29,00;36,96;0;2;Ukraine;Eastern Europe;"Uzhhorod National University";"2019-2024";"Physics and Astronomy (miscellaneous) (Q2)";"Physics and Astronomy"
8;21101055930;"Open Education Studies";journal;"25447831";"Walter de Gruyter GmbH";Yes;No;0,339;Q3;11;33;68;1632;89;67;0,93;49,45;61,90;0;12;Poland;Eastern Europe;"Walter de Gruyter GmbH";"2019-2025";"Social Sciences (miscellaneous) (Q2); Developmental and Educational Psychology (Q3); Education (Q3)";"Psychology; Social Sciences"
9;21101138521;"Journal of Education Culture and Society";journal;"20811640";"Pro Scientia Publica Foundation";Yes;No;0,335;Q3;14;79;221;2723;242;220;1,35;34,47;62,62;0;38;Poland;Eastern Europe;"Pro Scientia Publica Foundation";"2019-2024";"History (Q1); History and Philosophy of Science (Q2); Sociology and Political Science (Q2); Education (Q3); Psychology (miscellaneous) (Q3)";"Arts and Humanities; Psychology; Social Sciences"
10;21100790713;"European Journal of Contemporary Education (discontinued)";journal;"23049650, 23056746";"Cherkas Global University Press";Yes;No;0,331;Q3;26;128;279;4528;465;279;1,48;35,38;56,55;0;64;Slovakia;Eastern Europe;"Cherkas Global University Press";"2016-2023";"Education (Q3)";"Social Sciences"
