Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;16965;"Internet and Higher Education";journal;"10967516";"Elsevier B.V.";No;No;3,906;Q1;124;28;68;1991;878;68;10,70;71,11;51,09;2;6;United Kingdom;Western Europe;"Elsevier B.V.";"1998-2025";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
2;17645;"Computers and Education";journal;"03601315";"Elsevier Ltd";No;No;3,676;Q1;253;184;637;13115;8862;635;13,28;71,28;49,58;43;68;United Kingdom;Western Europe;"Elsevier Ltd";"1976-2025";"Computer Science (miscellaneous) (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
3;4700152248;"Educational Research Review";journal;"1747938X";"Elsevier Ltd";No;No;3,067;Q1;117;25;108;3120;1305;107;10,51;124,80;63,38;12;9;United Kingdom;Western Europe;"Elsevier Ltd";"2006-2025";"Education (Q1)";"Social Sciences"
4;23145;"Language Learning";journal;"14679922, 00238333";"Wiley-Blackwell Publishing Ltd";No;No;2,985;Q1;141;38;128;2943;675;120;5,13;77,45;50,00;3;2;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1948-1953, 1955-1956, 1958-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
5;21100403241;"Research Synthesis Methods";journal;"17592879, 17592887";"Cambridge University Press";No;No;2,909;Q1;77;65;157;2687;1137;152;7,35;41,34;42,98;10;4;United Kingdom;Western Europe;"Cambridge University Press";"2010-2024";"Education (Q1)";"Social Sciences"
6;11800154593;"Strategic Organization";journal;"1741315X, 14761270";"SAGE Publications Ltd";No;No;2,719;Q1;80;34;72;2427;366;69;3,89;71,38;30,99;8;3;United Kingdom;Western Europe;"SAGE Publications Ltd";"2003-2025";"Business and International Management (Q1); Education (Q1); Industrial Relations (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Social Sciences"
7;13455;"Learning and Instruction";journal;"09594752";"Elsevier B.V.";No;No;2,484;Q1;153;91;215;6243;1466;215;7,15;68,60;51,94;13;26;United Kingdom;Western Europe;"Elsevier B.V.";"1991-2025";"Developmental and Educational Psychology (Q1); Education (Q1)";"Psychology; Social Sciences"
8;21100451321;"Scientific Data";journal;"20524463";"Nature Research";Yes;No;2,468;Q1;142;291;1087;14524;9245;415;7,97;49,91;31,92;49;85;United Kingdom;Western Europe;"Nature Research";"2014-2025";"Computer Science Applications (Q1); Education (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Computer Science; Decision Sciences; Mathematics; Social Sciences"
9;5800185422;"Theory and Research in Social Education";journal;"00933104, 21631654";"Taylor and Francis Ltd.";No;No;2,377;Q1;52;20;61;1863;260;58;3,14;93,15;61,90;0;7;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1973-2025";"Education (Q1); Sociology and Political Science (Q1)";"Social Sciences"
10;3900148216;"Studies in Second Language Acquisition";journal;"02722631";"Cambridge University Press";No;No;2,368;Q1;122;57;141;3211;618;133;3,47;56,33;46,23;0;2;United Kingdom;Western Europe;"Cambridge University Press";"1978-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
11;21100466714;"International Journal of Educational Technology in Higher Education";journal;"23659440";"Springer Netherlands";Yes;Yes;2,102;Q1;77;66;146;4168;1524;141;9,91;63,15;43,14;14;31;Netherlands;Western Europe;"Springer Netherlands";"2016-2025";"Computer Science Applications (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
12;19700201158;"Studies in Science Education";journal;"19408412, 03057267";"Taylor and Francis Ltd.";No;No;2,057;Q1;58;6;18;698;109;18;7,00;116,33;52,38;1;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1974-2025";"Education (Q1)";"Social Sciences"
13;200147125;"Learning, Media and Technology";journal;"17439892, 17439884";"Routledge";No;No;2,053;Q1;69;40;105;2206;779;97;8,65;55,15;52,44;11;15;United Kingdom;Western Europe;"Routledge";"2005-2025";"Education (Q1); Media Technology (Q1)";"Engineering; Social Sciences"
14;5700152760;"Assessment and Evaluation in Higher Education";journal;"02602938, 1469297X";"Taylor and Francis Ltd.";No;No;2,032;Q1;114;83;277;3940;1546;276;5,09;47,47;56,16;6;15;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1981-2025";"Education (Q1)";"Social Sciences"
15;21101049624;"International Journal of Research in Undergraduate Mathematics Education";journal;"21989753";"Springer Science and Business Media B.V.";No;No;1,979;Q1;12;16;5;643;25;5;5,50;40,19;45,45;0;1;Germany;Western Europe;"Springer Science and Business Media B.V.";"2016-2025";"Education (Q1); Mathematics (miscellaneous) (Q1)";"Mathematics; Social Sciences"
16;30074;"Journal of School Psychology";journal;"00224405, 18733506";"Elsevier Ltd";No;No;1,946;Q1;119;50;161;4371;836;153;4,98;87,42;63,08;11;13;United Kingdom;Western Europe;"Elsevier Ltd";"1963-1968, 1970-2025";"Developmental and Educational Psychology (Q1); Education (Q1)";"Psychology; Social Sciences"
17;23316;"Teaching and Teacher Education";journal;"0742051X";"Elsevier Ltd";No;No;1,945;Q1;170;229;602;16023;2733;598;3,95;69,97;61,61;46;57;United Kingdom;Western Europe;"Elsevier Ltd";"1985-2025";"Education (Q1)";"Social Sciences"
18;23988;"British Journal of Educational Technology";journal;"00071013, 14678535";"Wiley-Blackwell Publishing Ltd";No;No;1,870;Q1;127;135;448;7061;2786;422;6,03;52,30;52,49;31;46;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1970-2025";"Education (Q1); E-learning (Q1)";"Social Sciences"
19;19700200914;"Classroom Discourse";journal;"19463014, 19463022";"Taylor and Francis Ltd.";No;No;1,837;Q1;25;19;62;1022;192;54;1,95;53,79;63,33;1;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
20;22497;"Journal of Second Language Writing";journal;"10603743";"Elsevier Ltd";No;No;1,831;Q1;113;34;96;1714;465;82;4,96;50,41;57,41;0;10;United Kingdom;Western Europe;"Elsevier Ltd";"1992-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
21;20323;"Journal of Education Policy";journal;"02680939, 14645106";"Routledge";No;No;1,820;Q1;94;39;125;2651;435;120;3,38;67,97;55,56;14;23;United Kingdom;Western Europe;"Routledge";"1986-2025";"Education (Q1)";"Social Sciences"
