Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;21101007236;"Nature Machine Intelligence";journal;"25225839";"Springer International Publishing";Yes;No;4,894;Q1;94;118;65;4613;865;33;13,31;39,09;25,40;28;22;Switzerland;Western Europe;"Springer International Publishing";"2019-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
2;15631;"International Journal of Information Management";journal;"02684012";"Elsevier Ltd";No;No;2,770;Q1;196;222;378;19734;5831;369;16,34;88,89;34,89;60;53;United Kingdom;Western Europe;"Elsevier Ltd";"1970, 1986-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
3;13017;"Physics of Life Reviews";journal;"18731457, 15710645";"Elsevier B.V.";No;No;1,785;Q1;77;67;315;2059;550;50;2,00;30,73;29,63;2;1;Netherlands;Western Europe;"Elsevier B.V.";"2004-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Artificial Intelligence (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Computer Science; Physics and Astronomy"
4;72242;"International Journal of Computer Vision";journal;"09205691, 15731405";"Springer Netherlands";No;No;1,780;Q1;232;153;269;9391;3012;259;10,33;61,38;21,39;3;1;Netherlands;Western Europe;"Springer Netherlands";"1987-2025";"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)";"Computer Science"
5;24772;"Knowledge-Based Systems";journal;"09507051";"Elsevier B.V.";No;No;1,587;Q1;188;722;1184;37076;10603;1181;8,95;51,35;28,91;7;53;Netherlands;Western Europe;"Elsevier B.V.";"1987-2025";"Artificial Intelligence (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Software (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
6;24823;"Pattern Recognition";journal;"00313203";"Elsevier Ltd";No;No;1,492;Q1;257;414;1178;19622;11364;1166;9,36;47,40;27,13;4;7;United Kingdom;Western Europe;"Elsevier Ltd";"1968-2025";"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Software (Q1)";"Computer Science"
7;24804;"Neural Networks";journal;"08936080, 18792782";"Elsevier Ltd";No;No;1,396;Q1;186;372;579;19686;5385;574;9,65;52,92;24,61;7;23;United Kingdom;Western Europe;"Elsevier Ltd";"1988-2025";"Artificial Intelligence (Q1); Cognitive Neuroscience (Q1)";"Computer Science; Neuroscience"
8;24201;"Expert Systems with Applications";journal;"09574174";"Elsevier Ltd";No;No;1,368;Q1;290;770;1944;42314;16619;1942;8,24;54,95;23,43;17;118;United Kingdom;Western Europe;"Elsevier Ltd";"1990-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Engineering (miscellaneous) (Q1)";"Computer Science; Engineering"
9;24305;"International Journal of Intelligent Systems";journal;"1098111X, 08848173";"John Wiley and Sons Inc";No;No;1,291;Q1;117;79;318;3837;2453;314;8,02;48,57;27,57;0;9;United Kingdom;Western Europe;"John Wiley and Sons Inc";"1986-2024";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
10;24363;"Journal of Intelligent Manufacturing";journal;"15728145, 09565515";"Springer Netherlands";No;No;1,271;Q1;113;123;445;6667;2592;440;5,88;54,20;25,81;4;53;Netherlands;Western Europe;"Springer Netherlands";"1990-2025";"Artificial Intelligence (Q1); Industrial and Manufacturing Engineering (Q1); Software (Q1)";"Computer Science; Engineering"
