Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;21101007236;"Nature Machine Intelligence";journal;"25225839";"Springer International Publishing";Yes;No;6,210;Q1;94;153;339;7112;6693;221;17,81;46,48;25,84;19;23;Switzerland;Western Europe;"Springer International Publishing";"2019-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
2;15631;"International Journal of Information Management";journal;"02684012";"Elsevier Ltd";No;No;4,906;Q1;196;82;546;9184;12975;529;23,16;112,00;32,07;12;21;United Kingdom;Western Europe;"Elsevier Ltd";"1970, 1986-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
3;72242;"International Journal of Computer Vision";journal;"09205691, 15731405";"Springer Netherlands";No;No;3,369;Q1;232;150;413;11777;6894;399;17,43;78,51;26,73;1;9;Netherlands;Western Europe;"Springer Netherlands";"1987-2025";"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)";"Computer Science"
4;24141;"Artificial Intelligence Review";journal;"02692821, 15737462";"Springer Netherlands";No;No;2,490;Q1;138;159;439;19013;6783;438;15,00;119,58;25,76;9;30;Netherlands;Western Europe;"Springer Netherlands";"1986-2025";"Artificial Intelligence (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
5;21101081610;"International Journal of Information Management Data Insights";journal;"26670968";"Elsevier B.V.";Yes;No;2,479;Q1;48;85;52;6233;969;52;18,63;73,33;30,28;6;23;Netherlands;Western Europe;"Elsevier B.V.";"2021-2025";"Artificial Intelligence (Q1); Industrial and Manufacturing Engineering (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Social Sciences"
6;24804;"Neural Networks";journal;"08936080, 18792782";"Elsevier Ltd";No;No;2,221;Q1;186;376;953;19978;9379;948;8,81;53,13;25,20;2;18;United Kingdom;Western Europe;"Elsevier Ltd";"1988-2025";"Artificial Intelligence (Q1); Cognitive Neuroscience (Q1)";"Computer Science; Neuroscience"
7;24363;"Journal of Intelligent Manufacturing";journal;"15728145, 09565515";"Springer Netherlands";No;No;2,160;Q1;113;138;447;7174;4264;440;10,95;51,99;21,81;2;62;Netherlands;Western Europe;"Springer Netherlands";"1990-2025";"Artificial Intelligence (Q1); Industrial and Manufacturing Engineering (Q1); Software (Q1)";"Computer Science; Engineering"
8;24823;"Pattern Recognition";journal;"00313203";"Elsevier Ltd";No;No;2,085;Q1;257;677;1292;31555;12693;1290;9,49;46,61;28,74;9;44;United Kingdom;Western Europe;"Elsevier Ltd";"1968-2025";"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Software (Q1)";"Computer Science"
9;24772;"Knowledge-Based Systems";journal;"09507051";"Elsevier B.V.";No;No;2,065;Q1;188;1241;2017;67801;19866;2017;9,58;54,63;30,27;10;107;Netherlands;Western Europe;"Elsevier B.V.";"1987-2025";"Artificial Intelligence (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Software (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
10;21101047378;"Energy and AI";journal;"26665468";"Elsevier B.V.";Yes;No;1,891;Q1;44;63;101;4713;1149;98;11,38;74,81;23,62;5;39;Netherlands;Western Europe;"Elsevier B.V.";"2020-2025";"Artificial Intelligence (Q1); Energy (miscellaneous) (Q1); Engineering (miscellaneous) (Q1)";"Computer Science; Energy; Engineering"
11;24201;"Expert Systems with Applications";journal;"09574174";"Elsevier Ltd";No;No;1,873;Q1;290;1925;2976;106920;30645;2975;10,09;55,54;26,50;23;399;United Kingdom;Western Europe;"Elsevier Ltd";"1990-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Engineering (miscellaneous) (Q1)";"Computer Science; Engineering"
12;13017;"Physics of Life Reviews";journal;"18731457, 15710645";"Elsevier B.V.";No;No;1,848;Q1;77;51;236;3860;571;51;2,21;75,69;30,16;0;13;Netherlands;Western Europe;"Elsevier B.V.";"2004-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Artificial Intelligence (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Computer Science; Physics and Astronomy"
13;23675;"Artificial Intelligence";journal;"00043702";"Elsevier B.V.";No;No;1,819;Q1;174;111;280;6852;2285;279;6,70;61,73;17,37;1;4;Netherlands;Western Europe;"Elsevier B.V.";"1968, 1970-2025";"Artificial Intelligence (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
14;24182;"Engineering Applications of Artificial Intelligence";journal;"09521976";"Elsevier Ltd";No;No;1,729;Q1;149;493;931;30018;8623;926;9,02;60,89;25,18;8;91;United Kingdom;Western Europe;"Elsevier Ltd";"1988-2025";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
15;21101064700;"IACR Transactions on Cryptographic Hardware and Embedded Systems";journal;"25692925";"Ruhr-University of Bochum";Yes;Yes;1,720;Q1;48;79;198;3854;1402;198;6,32;48,78;19,05;0;2;Germany;Western Europe;"Ruhr-University of Bochum";"2018-2025";"Artificial Intelligence (Q1); Computer Graphics and Computer-Aided Design (Q1); Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Signal Processing (Q1); Software (Q1)";"Computer Science"
16;23640;"Advanced Engineering Informatics";journal;"14740346";"Elsevier Ltd";No;No;1,709;Q1;124;310;456;18596;4673;452;9,72;59,99;29,69;3;88;United Kingdom;Western Europe;"Elsevier Ltd";"2002-2025";"Artificial Intelligence (Q1); Information Systems (Q1)";"Computer Science"
17;21101074919;"Computers and Education: Artificial Intelligence";journal;"2666920X";"Elsevier B.V.";Yes;No;1,700;Q1;51;67;39;5100;545;38;13,97;76,12;39,90;16;24;Netherlands;Western Europe;"Elsevier B.V.";"2020-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Education (Q1)";"Computer Science; Social Sciences"
18;24775;"Machine Learning";journal;"15730565, 08856125";"Springer Netherlands";No;No;1,679;Q1;175;145;273;7554;2020;257;8,53;52,10;20,98;0;3;Netherlands;Western Europe;"Springer Netherlands";"1986-2025";"Artificial Intelligence (Q1); Software (Q1)";"Computer Science"
19;13880;"Artificial Intelligence and Law";journal;"09248463, 15728382";"Springer Nature";No;No;1,544;Q1;52;21;54;1386;319;52;5,47;66,00;20,34;4;1;Netherlands;Western Europe;"Springer Nature";"1992-1993, 1995-2025";"Artificial Intelligence (Q1); Law (Q1)";"Computer Science; Social Sciences"
20;24807;"Neurocomputing";journal;"09252312, 18728286";"Elsevier B.V.";No;No;1,481;Q1;216;1427;4360;80845;30056;4312;6,67;56,65;29,98;12;95;Netherlands;Western Europe;"Elsevier B.V.";"1989-2025";"Artificial Intelligence (Q1); Cognitive Neuroscience (Q1); Computer Science Applications (Q1)";"Computer Science; Neuroscience"
21;21101058910;"Internet of Things (The Netherlands)";journal;"25426605";"Elsevier B.V.";No;No;1,474;Q1;69;122;308;8012;2889;299;8,59;65,67;19,91;5;43;Netherlands;Western Europe;"Elsevier B.V.";"2018-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Management of Technology and Innovation (Q1); Software (Q1)";"Business, Management and Accounting; Computer Science; Engineering"
22;21100901150;"Data Science and Engineering";journal;"23641541, 23641185";"Springer International Publishing";Yes;Yes;1,458;-;32;27;90;1398;475;82;5,15;51,78;36,73;2;4;Switzerland;Western Europe;"Springer International Publishing";"2016-2025";"Computational Mechanics (Q1); Computer Science Applications (Q1)";"Computer Science; Engineering"
23;24140;"Artificial Intelligence in Medicine";journal;"09333657, 18732860";"Elsevier B.V.";No;No;1,443;Q1;118;133;415;7947;3724;409;8,67;59,75;28,34;5;54;Netherlands;Western Europe;"Elsevier B.V.";"1989-2025";"Artificial Intelligence (Q1); Medicine (miscellaneous) (Q1)";"Computer Science; Medicine"
24;24305;"International Journal of Intelligent Systems";journal;"1098111X, 08848173";"John Wiley and Sons Inc";No;No;1,438;Q1;117;488;502;23553;4138;502;8,27;48,26;32,93;0;76;United Kingdom;Western Europe;"John Wiley and Sons Inc";"1986-2024";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
25;21101039775;"Machine Learning: Science and Technology";journal;"26322153";"Institute of Physics Publishing";Yes;No;1,351;Q1;41;115;181;6553;1270;181;7,02;56,98;19,59;1;8;United Kingdom;Western Europe;"Institute of Physics Publishing";"2020-2025";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
26;24825;"Pattern Recognition Letters";journal;"01678655";"Elsevier B.V.";No;No;1,302;Q1;188;303;1238;9802;7761;1207;6,07;32,35;29,64;5;17;Netherlands;Western Europe;"Elsevier B.V.";"1982-2025";"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Software (Q1)";"Computer Science"
27;21101019779;"Cybersecurity";journal;"20964862, 25233246";"SpringerOpen";Yes;Yes;1,266;Q1;28;30;83;1746;561;83;4,38;58,20;27,59;1;2;United Kingdom;Western Europe;"SpringerOpen";"2018-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
28;24777;"Minds and Machines";journal;"09246495, 15728641";"Springer Netherlands";No;No;1,232;Q1;56;33;92;1933;714;78;9,17;58,58;25,42;3;0;Netherlands;Western Europe;"Springer Netherlands";"1991-2025";"Artificial Intelligence (Q1); Philosophy (Q1)";"Arts and Humanities; Computer Science"
29;36450;"Design Studies";journal;"0142694X";"Elsevier Ltd";No;No;1,231;Q1;116;33;113;1889;589;109;4,89;57,24;46,15;0;5;United Kingdom;Western Europe;"Elsevier Ltd";"1979-2025";"Architecture (Q1); Artificial Intelligence (Q1); Arts and Humanities (miscellaneous) (Q1); Computer Science Applications (Q1); Engineering (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)";"Arts and Humanities; Computer Science; Engineering; Social Sciences"
30;26529;"Fuzzy Sets and Systems";journal;"01650114";"Elsevier B.V.";No;No;1,212;Q1;191;298;626;11419;2634;617;4,10;38,32;25,64;0;9;Netherlands;Western Europe;"Elsevier B.V.";"1978-2025";"Artificial Intelligence (Q1); Logic (Q1)";"Computer Science; Mathematics"
31;21101076317;"Intelligence-Based Medicine";journal;"26665212";"Elsevier B.V.";Yes;No;1,171;Q1;15;32;16;1122;111;15;6,94;35,06;34,19;0;13;Netherlands;Western Europe;"Elsevier B.V.";"2020, 2022-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Health Informatics (Q1); Medicine (miscellaneous) (Q1)";"Computer Science; Medicine"
32;24800;"Neural Computing and Applications";journal;"09410643, 14333058";"Springer London";No;No;1,169;Q1;146;1322;2830;66161;18762;2789;6,69;50,05;27,85;7;274;United Kingdom;Western Europe;"Springer London";"1993-2025";"Artificial Intelligence (Q1); Software (Q1)";"Computer Science"
33;18016;"Autonomous Robots";journal;"15737527, 09295593";"Springer Netherlands";No;No;1,165;Q1;135;51;274;2488;1159;268;3,72;48,78;19,90;0;5;Netherlands;Western Europe;"Springer Netherlands";"1994-2025";"Artificial Intelligence (Q1)";"Computer Science"
34;21101017498;"Journal of Healthcare Informatics Research";journal;"2509498X";"Springer International Publishing";No;No;1,163;Q1;22;19;68;1007;430;66;8,78;53,00;31,94;1;7;Switzerland;Western Europe;"Springer International Publishing";"2017-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Health Informatics (Q1); Information Systems (Q1)";"Computer Science; Medicine"
35;23674;"Applied Intelligence";journal;"0924669X, 15737497";"Springer Netherlands";No;No;1,145;Q2;108;1032;1062;48609;6921;1059;6,55;47,10;29,99;6;110;Netherlands;Western Europe;"Springer Netherlands";"1991-2025";"Artificial Intelligence (Q2)";"Computer Science"
36;21101095931;"Complex and Intelligent Systems";journal;"21994536, 21986053";"Springer International Publishing AG";Yes;No;1,138;Q2;59;322;284;16080;2255;280;7,81;49,94;31,38;2;58;Switzerland;Western Europe;"Springer International Publishing AG";"2019-2025";"Computational Mathematics (Q1); Engineering (miscellaneous) (Q1); Information Systems (Q1); Artificial Intelligence (Q2)";"Computer Science; Engineering; Mathematics"
37;28424;"Theory and Practice of Logic Programming";journal;"14753081, 14710684";"Cambridge University Press";No;No;1,138;Q2;52;33;146;1343;319;139;1,62;40,70;18,60;0;1;United Kingdom;Western Europe;"Cambridge University Press";"2001-2025";"Computational Theory and Mathematics (Q1); Hardware and Architecture (Q1); Software (Q1); Theoretical Computer Science (Q1); Artificial Intelligence (Q2)";"Computer Science; Mathematics"
38;21101051831;"Intelligent Systems with Applications";journal;"26673053";"Elsevier B.V.";Yes;No;1,126;Q2;28;92;30;4806;272;30;9,24;52,24;26,01;1;29;Netherlands;Western Europe;"Elsevier B.V.";"2021-2025";"Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1); Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Artificial Intelligence (Q2)";"Computer Science"
39;21100970248;"CAAI Transactions on Intelligence Technology";journal;"24686557, 24682322";"John Wiley &amp; Sons Inc.";Yes;No;1,115;Q2;44;63;112;2540;701;107;5,99;40,32;30,77;1;4;United Kingdom;Western Europe;"John Wiley &amp; Sons Inc.";"2017-2025";"Computer Networks and Communications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Artificial Intelligence (Q2)";"Computer Science"
40;26803;"Journal of Pragmatics";journal;"03782166";"Elsevier B.V.";No;No;1,085;Q2;128;169;633;10132;1349;595;1,83;59,95;56,23;1;11;Netherlands;Western Europe;"Elsevier B.V.";"1977-2025";"Linguistics and Language (Q1); Artificial Intelligence (Q2)";"Computer Science; Social Sciences"
41;145544;"Journal of Semantics";journal;"01675133, 14774593";"Oxford University Press";No;No;1,069;Q2;52;19;60;1245;87;60;1,18;65,53;37,50;0;0;United Kingdom;Western Europe;"Oxford University Press";"1982-1986, 1990-2024";"Arts and Humanities (miscellaneous) (Q1); Linguistics and Language (Q1); Artificial Intelligence (Q2)";"Arts and Humanities; Computer Science; Social Sciences"
42;12886;"Cognitive Systems Research";journal;"13890417, 22144366";"Elsevier B.V.";No;No;1,068;Q2;73;36;278;2256;1630;272;5,13;62,67;29,57;1;4;Netherlands;Western Europe;"Elsevier B.V.";"1999-2025";"Experimental and Cognitive Psychology (Q1); Software (Q1); Artificial Intelligence (Q2); Cognitive Neuroscience (Q2)";"Computer Science; Neuroscience; Psychology"
43;21101048344;"Granular Computing";journal;"23644974, 23644966";"Springer Nature";No;No;1,059;Q2;51;61;161;2863;779;158;5,40;46,93;20,83;0;4;Switzerland;Western Europe;"Springer Nature";"2016-2024";"Computer Science Applications (Q1); Information Systems (Q1); Artificial Intelligence (Q2)";"Computer Science"
44;24774;"Knowledge Engineering Review";journal;"14698005, 02698889";"Cambridge University Press";No;No;1,053;Q2;73;9;78;335;282;75;2,88;37,22;25,71;0;1;United Kingdom;Western Europe;"Cambridge University Press";"1984, 1987-2025";"Software (Q1); Artificial Intelligence (Q2)";"Computer Science"
