Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
21;23167;"Language Teaching Research";journal;"13621688, 14770954";"SAGE Publications Ltd";No;No;2,190;Q1;91;221;384;15074;2734;379;6,40;68,21;51,57;2;46;United Kingdom;Western Europe;"SAGE Publications Ltd";"1997-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
22;22497;"Journal of Second Language Writing";journal;"10603743";"Elsevier Ltd";No;No;2,187;Q1;113;37;132;1366;798;100;4,58;36,92;48,39;0;4;United Kingdom;Western Europe;"Elsevier Ltd";"1992-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
23;5800207673;"ReCALL";journal;"09583440";"Cambridge University Press";No;No;2,177;Q1;71;34;70;1865;547;62;7,49;54,85;43,84;0;9;United Kingdom;Western Europe;"Cambridge University Press";"1989-2025";"Computer Science Applications (Q1); Education (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
24;18787;"Higher Education";journal;"00181560, 1573174X";"Springer Netherlands";No;No;2,150;Q1;137;332;418;19668;3613;414;8,06;59,24;50,74;19;149;Netherlands;Western Europe;"Springer Netherlands";"1972-2025";"Education (Q1); Law (Q1)";"Social Sciences"
25;21100922758;"Journal of Computers in Education";journal;"21979995, 21979987";"Springer Berlin";No;No;2,062;Q1;31;80;81;5713;967;80;8,36;71,41;44,55;3;36;Germany;Western Europe;"Springer Berlin";"2019-2025";"Computer Science Applications (Q1); Education (Q1)";"Computer Science; Social Sciences"
26;26183;"Journal of Computer Assisted Learning";journal;"13652729, 02664909";"Wiley-Blackwell Publishing Ltd";No;No;2,000;Q1;121;213;363;14883;3319;361;8,58;69,87;45,81;4;97;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1985-2025";"Computer Science Applications (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
27;145681;"Interactive Learning Environments";journal;"10494820";"Taylor and Francis Ltd.";No;No;1,976;Q1;80;636;679;36685;7050;657;10,44;57,68;45,96;6;233;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1990, 1992-1994, 2004-2025";"Computer Science Applications (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
28;30074;"Journal of School Psychology";journal;"00224405, 18733506";"Elsevier Ltd";No;No;1,891;Q1;119;100;171;9429;969;171;4,82;94,29;62,26;0;45;United Kingdom;Western Europe;"Elsevier Ltd";"1963-1968, 1970-2025";"Developmental and Educational Psychology (Q1); Education (Q1)";"Psychology; Social Sciences"
29;21100451321;"Scientific Data";journal;"20524463";"Nature Research";Yes;No;1,867;Q1;142;1415;1945;69795;14470;171;6,92;49,33;37,62;21;504;United Kingdom;Western Europe;"Nature Research";"2014-2025";"Computer Science Applications (Q1); Education (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Computer Science; Decision Sciences; Mathematics; Social Sciences"
30;21100301445;"Journal of Research on Technology in Education";journal;"19450818, 15391523";"Taylor and Francis Ltd.";No;No;1,854;Q1;80;96;156;6352;1372;153;9,07;66,17;57,14;1;22;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2001-2025";"Computer Science Applications (Q1); Education (Q1)";"Computer Science; Social Sciences"
31;5600153363;"Equity and Excellence in Education";journal;"10665684";"Taylor and Francis Ltd.";No;No;1,749;Q1;63;40;118;2046;385;106;1,90;51,15;70,45;1;10;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1963-1982, 1984, 1986-1988, 1991, 1993-2025";"Education (Q1)";"Social Sciences"
32;21100206607;"International Journal of Management Education";journal;"14728117";"Elsevier B.V.";No;No;1,741;Q1;65;162;386;14769;4032;382;10,04;91,17;42,25;0;93;Netherlands;Western Europe;"Elsevier B.V.";"1970, 2012-2025";"Education (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Social Sciences"
33;6300153120;"Educational Management Administration and Leadership";journal;"17411440, 17411432";"SAGE Publications Ltd";No;No;1,711;Q1;67;144;238;9840;1414;219;4,87;68,33;51,01;7;42;United Kingdom;Western Europe;"SAGE Publications Ltd";"1972-1993, 1995-1999, 2003-2025";"Education (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Social Sciences"
34;23316;"Teaching and Teacher Education";journal;"0742051X";"Elsevier Ltd";No;No;1,700;Q1;170;303;860;23534;5287;860;5,29;77,67;64,43;5;87;United Kingdom;Western Europe;"Elsevier Ltd";"1985-2025";"Education (Q1)";"Social Sciences"
35;16047;"Race Ethnicity and Education";journal;"1470109X, 13613324";"Routledge";No;No;1,681;Q1;72;96;173;5810;771;171;4,16;60,52;71,20;2;42;United Kingdom;Western Europe;"Routledge";"1998-2025";"Cultural Studies (Q1); Demography (Q1); Education (Q1)";"Social Sciences"
36;21101259019;"Computers and Education Open";journal;"26665573";"Elsevier Ltd";Yes;No;1,678;Q1;25;78;120;5523;1122;120;8,54;70,81;53,19;2;28;United Kingdom;Western Europe;"Elsevier Ltd";"2021-2025";"Computer Science Applications (Q1); Education (Q1); Human-Computer Interaction (Q1)";"Computer Science; Social Sciences"
37;21447;"Journal of English for Academic Purposes";journal;"14751585";"Elsevier B.V.";No;No;1,674;Q1;83;78;189;4123;987;185;4,39;52,86;49,32;0;12;United Kingdom;Western Europe;"Elsevier B.V.";"2002-2025";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
38;12859;"Cognition and Instruction";journal;"1532690X, 07370008";"Routledge";No;No;1,669;Q1;99;18;53;1286;233;53;3,72;71,44;63,83;0;5;United Kingdom;Western Europe;"Routledge";"1984-2025";"Applied Psychology (Q1); Developmental and Educational Psychology (Q1); Education (Q1); Experimental and Cognitive Psychology (Q1); Psychology (miscellaneous) (Q1)";"Psychology; Social Sciences"
39;200147125;"Learning, Media and Technology";journal;"17439892, 17439884";"Routledge";No;No;1,668;Q1;69;94;142;4909;960;131;5,94;52,22;55,88;6;24;United Kingdom;Western Europe;"Routledge";"2005-2025";"Education (Q1); Media Technology (Q1)";"Engineering; Social Sciences"
40;20853;"Studies in Higher Education";journal;"03075079, 1470174X";"Routledge";No;No;1,651;Q1;138;301;503;17970;3446;493;6,46;59,70;49,14;6;126;United Kingdom;Western Europe;"Routledge";"1976-2025";"Education (Q1)";"Social Sciences"
41;20323;"Journal of Education Policy";journal;"02680939, 14645106";"Routledge";No;No;1,632;Q1;94;71;132;4906;725;132;5,37;69,10;57,25;2;23;United Kingdom;Western Europe;"Routledge";"1986-2025";"Education (Q1)";"Social Sciences"
42;5700163257;"International Journal of Qualitative Methods";journal;"16094069";"SAGE Publications Inc.";Yes;No;1,622;Q1;94;215;641;12127;3377;630;4,38;56,40;71,07;1;80;United Kingdom;Western Europe;"SAGE Publications Inc.";"2002-2025";"Education (Q1)";"Social Sciences"
