Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;21100794681;"Studies in Second Language Learning and Teaching";journal;"20835205, 20841965";"Adam Mickiewicz University";Yes;Yes;1,757;Q1;33;24;93;1173;399;81;2,47;48,88;50,00;0;8;Poland;Eastern Europe;"Adam Mickiewicz University";"2016-2024";"Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
2;4100151705;"Informatics in Education";journal;"16485831";"Vilnius University Institute of Data Science and Digital Technologies";Yes;Yes;0,956;Q1;35;31;71;1523;245;71;3,27;49,13;42,86;2;8;Lithuania;Eastern Europe;"Vilnius University Institute of Data Science and Digital Technologies";"2006-2024";"Communication (Q1); Education (Q1); Computer Science Applications (Q2)";"Computer Science; Social Sciences"
3;21100790713;"European Journal of Contemporary Education (discontinued)";journal;"23049650, 23056746";"Cherkas Global University Press";Yes;No;0,619;Q2;26;87;235;3019;448;235;2,23;34,70;63,21;0;36;Slovakia;Eastern Europe;"Cherkas Global University Press";"2016-2023";"Education (Q2)";"Social Sciences"
4;21100942842;"Physical Education Theory and Methodology";journal;"19937997, 19937989";"OVS LLC";Yes;No;0,617;-;16;50;57;1565;139;57;2,44;31,30;39,36;0;4;Ukraine;Eastern Europe;"OVS LLC";"2019-2024";"Health (social science) (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Public Health, Environmental and Occupational Health (Q2)";"Health Professions; Medicine; Social Sciences"
5;17700156732;"Journal of Teacher Education for Sustainability";journal;"16914147, 16915534";"De Gruyter Open Ltd";Yes;No;0,510;Q2;25;22;64;962;162;60;1,82;43,73;70,00;2;19;Poland;Eastern Europe;"De Gruyter Open Ltd";"2007-2024";"Education (Q2)";"Social Sciences"
6;21100805726;"Voprosy Obrazovaniya / Educational Studies Moscow";journal;"24124354, 18149545";"National Research University Higher School of Economics";Yes;Yes;0,498;Q2;19;51;146;1782;207;145;1,28;34,94;65,60;0;31;Russian Federation;Eastern Europe;"National Research University Higher School of Economics";"2012-2024";"Education (Q2)";"Social Sciences"
7;19700182688;"Journal of Baltic Science Education";journal;"16483898";"Scientific Methodical Center";Yes;No;0,478;Q2;29;69;224;3639;352;210;1,47;52,74;43,04;2;20;Lithuania;Eastern Europe;"Scientific Methodical Center";"2008-2024";"Education (Q2)";"Social Sciences"
8;21100451188;"European Journal of Adapted Physical Activity";journal;"18033857";"European Federation of Adapted Physical Activity";Yes;Yes;0,379;Q2;12;14;35;636;62;31;1,46;45,43;41,46;0;1;Czech Republic;Eastern Europe;"European Federation of Adapted Physical Activity";"2015-2024";"Education (Q2); Health (social science) (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3); Social Psychology (Q3)";"Health Professions; Psychology; Social Sciences"
9;21100792737;"International Journal of Cognitive Research in Science, Engineering and Education";journal;"2334847X, 23348496";"Association for the Development of Science, Engineering and Education";Yes;No;0,345;Q3;17;32;110;1481;149;102;1,24;46,28;70,37;1;10;Serbia;Eastern Europe;"Association for the Development of Science, Engineering and Education";"2013-2024";"Education (Q3); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4)";"Neuroscience; Psychology; Social Sciences"
10;21100854757;"Open Archaeology";journal;"23006560";"Walter de Gruyter GmbH";Yes;No;0,333;Q3;18;91;84;6317;91;82;0,95;69,42;43,69;4;15;Poland;Eastern Europe;"Walter de Gruyter GmbH";"2015-2025";"Archeology (arts and humanities) (Q1); Conservation (Q1); Education (Q3)";"Arts and Humanities; Social Sciences"
