Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;72242;"International Journal of Computer Vision";journal;"09205691, 15731405";"Springer Netherlands";No;No;6,838;Q1;232;168;321;12279;4283;308;13,05;73,09;23,50;2;2;Netherlands;Western Europe;"Springer Netherlands";"1987-2025";"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)";"Computer Science"
2;21101007236;"Nature Machine Intelligence";journal;"25225839";"Springer International Publishing";Yes;No;4,602;Q1;94;156;183;6049;3203;110;17,50;38,78;24,79;26;30;Switzerland;Western Europe;"Springer International Publishing";"2019-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
3;15631;"International Journal of Information Management";journal;"02684012";"Elsevier Ltd";No;No;4,584;Q1;196;160;504;16280;10053;496;20,05;101,75;29,82;25;40;United Kingdom;Western Europe;"Elsevier Ltd";"1970, 1986-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
4;24823;"Pattern Recognition";journal;"00313203";"Elsevier Ltd";No;No;3,113;Q1;257;503;1189;23548;11397;1181;8,79;46,82;28,61;2;39;United Kingdom;Western Europe;"Elsevier Ltd";"1968-2025";"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Software (Q1)";"Computer Science"
5;24804;"Neural Networks";journal;"08936080, 18792782";"Elsevier Ltd";No;No;2,781;Q1;186;376;796;21095;8101;791;10,14;56,10;23,79;5;11;United Kingdom;Western Europe;"Elsevier Ltd";"1988-2025";"Artificial Intelligence (Q1); Cognitive Neuroscience (Q1)";"Computer Science; Neuroscience"
6;21101047378;"Energy and AI";journal;"26665468";"Elsevier B.V.";Yes;No;2,536;Q1;44;70;31;3792;403;28;13,00;54,17;22,73;3;40;Netherlands;Western Europe;"Elsevier B.V.";"2020-2025";"Artificial Intelligence (Q1); Energy (miscellaneous) (Q1); Engineering (miscellaneous) (Q1)";"Computer Science; Energy; Engineering"
7;24772;"Knowledge-Based Systems";journal;"09507051";"Elsevier B.V.";No;No;2,192;Q1;188;877;1536;49384;13981;1534;8,59;56,31;29,44;6;84;Netherlands;Western Europe;"Elsevier B.V.";"1987-2025";"Artificial Intelligence (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Software (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
8;24141;"Artificial Intelligence Review";journal;"02692821, 15737462";"Springer Netherlands";No;No;2,180;Q1;138;154;328;17050;3758;328;11,87;110,71;27,29;10;22;Netherlands;Western Europe;"Springer Netherlands";"1986-2025";"Artificial Intelligence (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
9;24201;"Expert Systems with Applications";journal;"09574174";"Elsevier Ltd";No;No;2,070;Q1;290;1496;2091;83423;20179;2089;9,49;55,76;25,65;30;245;United Kingdom;Western Europe;"Elsevier Ltd";"1990-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Engineering (miscellaneous) (Q1)";"Computer Science; Engineering"
10;13017;"Physics of Life Reviews";journal;"18731457, 15710645";"Elsevier B.V.";No;No;1,992;Q1;77;65;276;3392;629;48;2,53;52,18;32,73;0;5;Netherlands;Western Europe;"Elsevier B.V.";"2004-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Artificial Intelligence (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Computer Science; Physics and Astronomy"
11;24363;"Journal of Intelligent Manufacturing";journal;"15728145, 09565515";"Springer Netherlands";No;No;1,929;Q1;113;138;427;6167;3353;422;8,44;44,69;24,89;2;57;Netherlands;Western Europe;"Springer Netherlands";"1990-2025";"Artificial Intelligence (Q1); Industrial and Manufacturing Engineering (Q1); Software (Q1)";"Computer Science; Engineering"
12;24182;"Engineering Applications of Artificial Intelligence";journal;"09521976";"Elsevier Ltd";No;No;1,734;Q1;149;357;786;19586;6467;782;8,33;54,86;25,33;4;61;United Kingdom;Western Europe;"Elsevier Ltd";"1988-2025";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
13;24305;"International Journal of Intelligent Systems";journal;"1098111X, 08848173";"John Wiley and Sons Inc";No;No;1,693;Q1;117;281;333;14248;3150;332;9,20;50,70;28,98;1;37;United Kingdom;Western Europe;"John Wiley and Sons Inc";"1986-2024";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
14;23675;"Artificial Intelligence";journal;"00043702";"Elsevier B.V.";No;No;1,673;Q1;174;100;235;7148;1499;234;6,30;71,48;20,86;7;6;Netherlands;Western Europe;"Elsevier B.V.";"1968, 1970-2025";"Artificial Intelligence (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
15;24807;"Neurocomputing";journal;"09252312, 18728286";"Elsevier B.V.";No;No;1,660;Q1;216;1666;4013;83182;26577;3968;6,22;49,93;30,06;7;118;Netherlands;Western Europe;"Elsevier B.V.";"1989-2025";"Artificial Intelligence (Q1); Cognitive Neuroscience (Q1); Computer Science Applications (Q1)";"Computer Science; Neuroscience"
16;24775;"Machine Learning";journal;"15730565, 08856125";"Springer Netherlands";No;No;1,640;Q1;175;103;244;5042;1333;226;5,26;48,95;16,57;5;9;Netherlands;Western Europe;"Springer Netherlands";"1986-2025";"Artificial Intelligence (Q1); Software (Q1)";"Computer Science"
