Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
17;24807;"Neurocomputing";journal;"09252312, 18728286";"Elsevier B.V.";No;No;1,815;Q1;216;974;4640;56985;33804;4589;6,93;58,51;30,69;3;54;Netherlands;Western Europe;"Elsevier B.V.";"1989-2025";"Artificial Intelligence (Q1); Cognitive Neuroscience (Q1); Computer Science Applications (Q1)";"Computer Science; Neuroscience"
18;145544;"Journal of Semantics";journal;"01675133, 14774593";"Oxford University Press";No;No;1,805;Q1;52;19;57;1356;123;57;2,22;71,37;35,71;0;0;United Kingdom;Western Europe;"Oxford University Press";"1982-1986, 1990-2024";"Artificial Intelligence (Q1); Arts and Humanities (miscellaneous) (Q1); Linguistics and Language (Q1)";"Arts and Humanities; Computer Science; Social Sciences"
19;24182;"Engineering Applications of Artificial Intelligence";journal;"09521976";"Elsevier Ltd";No;No;1,749;Q1;149;1552;1209;92331;11943;1206;9,29;59,49;25,89;5;368;United Kingdom;Western Europe;"Elsevier Ltd";"1988-2025";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
20;23640;"Advanced Engineering Informatics";journal;"14740346";"Elsevier Ltd";No;No;1,731;Q1;124;378;650;22451;6471;644;9,27;59,39;29,93;2;88;United Kingdom;Western Europe;"Elsevier Ltd";"2002-2025";"Artificial Intelligence (Q1); Information Systems (Q1)";"Computer Science"
21;24140;"Artificial Intelligence in Medicine";journal;"09333657, 18732860";"Elsevier B.V.";No;No;1,723;Q1;118;180;437;11318;4204;431;7,71;62,88;33,72;1;56;Netherlands;Western Europe;"Elsevier B.V.";"1989-2025";"Artificial Intelligence (Q1); Medicine (miscellaneous) (Q1)";"Computer Science; Medicine"
22;24775;"Machine Learning";journal;"15730565, 08856125";"Springer Netherlands";No;No;1,720;Q1;175;163;333;8404;2508;322;5,92;51,56;18,65;2;7;Netherlands;Western Europe;"Springer Netherlands";"1986-2025";"Artificial Intelligence (Q1); Software (Q1)";"Computer Science"
23;13017;"Physics of Life Reviews";journal;"18731457, 15710645";"Elsevier B.V.";No;No;1,720;Q1;77;192;183;7016;467;35;3,00;36,54;27,87;0;16;Netherlands;Western Europe;"Elsevier B.V.";"2004-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Artificial Intelligence (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Computer Science; Physics and Astronomy"
24;21101017498;"Journal of Healthcare Informatics Research";journal;"2509498X";"Springer International Publishing";No;No;1,664;Q1;22;23;64;1417;559;63;8,16;61,61;30,77;2;6;Switzerland;Western Europe;"Springer International Publishing";"2017-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Health Informatics (Q1); Information Systems (Q1)";"Computer Science; Medicine"
25;21101058910;"Internet of Things (The Netherlands)";journal;"25426605";"Elsevier B.V.";No;No;1,642;Q1;69;352;377;20642;3567;368;8,99;58,64;21,35;5;132;Netherlands;Western Europe;"Elsevier B.V.";"2018-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Management of Technology and Innovation (Q1); Software (Q1)";"Business, Management and Accounting; Computer Science; Engineering"
26;21101039775;"Machine Learning: Science and Technology";journal;"26322153";"Institute of Physics Publishing";Yes;No;1,506;Q1;41;197;296;11307;2053;296;6,88;57,40;20,32;0;14;United Kingdom;Western Europe;"Institute of Physics Publishing";"2020-2025";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
27;13880;"Artificial Intelligence and Law";journal;"09248463, 15728382";"Springer Nature";No;No;1,501;Q1;52;40;59;2251;351;58;5,76;56,28;30,95;2;8;Netherlands;Western Europe;"Springer Nature";"1992-1993, 1995-2025";"Artificial Intelligence (Q1); Law (Q1)";"Computer Science; Social Sciences"
28;21101048344;"Granular Computing";journal;"23644974, 23644966";"Springer Nature";No;No;1,415;Q1;51;106;170;5388;1197;169;7,76;50,83;34,41;0;18;Switzerland;Western Europe;"Springer Nature";"2016-2024";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Information Systems (Q1)";"Computer Science"
29;18016;"Autonomous Robots";journal;"15737527, 09295593";"Springer Netherlands";No;No;1,410;Q1;135;89;201;4486;1015;196;5,11;50,40;12,75;0;10;Netherlands;Western Europe;"Springer Netherlands";"1994-2025";"Artificial Intelligence (Q1)";"Computer Science"
30;24825;"Pattern Recognition Letters";journal;"01678655";"Elsevier B.V.";No;No;1,400;Q1;188;291;1163;9756;7020;1129;5,10;33,53;27,06;0;11;Netherlands;Western Europe;"Elsevier B.V.";"1982-2025";"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Software (Q1)";"Computer Science"
31;21101155822;"Neuromorphic Computing and Engineering";journal;"26344386";"Institute of Physics";Yes;No;1,366;Q1;19;66;92;3835;598;91;6,50;58,11;18,31;0;11;United Kingdom;Western Europe;"Institute of Physics";"2021-2025";"Artificial Intelligence (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Hardware and Architecture (Q1)";"Computer Science; Engineering; Materials Science"
32;21101078838;"Computers in Human Behavior Reports";journal;"24519588";"Elsevier B.V.";Yes;No;1,365;Q1;30;81;209;5971;1358;207;6,07;73,72;45,64;2;18;United Kingdom;Western Europe;"Elsevier B.V.";"2020-2025";"Applied Psychology (Q1); Artificial Intelligence (Q1); Cognitive Neuroscience (Q1); Computer Science Applications (Q1); Human-Computer Interaction (Q1); Neuroscience (miscellaneous) (Q1)";"Computer Science; Neuroscience; Psychology"
33;21101068929;"Smart Cities";journal;"26246511";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;1,326;Q1;42;152;239;11445;2281;234;10,73;75,30;27,64;3;129;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2018-2024";"Artificial Intelligence (Q1); Electrical and Electronic Engineering (Q1); Urban Studies (Q1)";"Computer Science; Engineering; Social Sciences"
