Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;15631;"International Journal of Information Management";journal;"02684012";"Elsevier Ltd";No;No;6,260;Q1;196;85;334;9424;11357;313;33,30;110,87;31,92;2;14;United Kingdom;Western Europe;"Elsevier Ltd";"1970, 1986-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
2;21101007236;"Nature Machine Intelligence";journal;"25225839";"Springer International Publishing";Yes;No;5,876;Q1;94;177;484;9104;9769;353;18,44;51,44;27,87;2;20;Switzerland;Western Europe;"Springer International Publishing";"2019-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
3;21101074919;"Computers and Education: Artificial Intelligence";journal;"2666920X";"Elsevier B.V.";Yes;No;5,217;Q1;51;140;180;9490;5897;179;30,12;67,79;38,94;2;44;Netherlands;Western Europe;"Elsevier B.V.";"2020-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Education (Q1)";"Computer Science; Social Sciences"
4;72242;"International Journal of Computer Vision";journal;"09205691, 15731405";"Springer Netherlands";No;No;3,136;Q1;232;373;486;29783;9156;476;12,79;79,85;27,85;0;13;Netherlands;Western Europe;"Springer Netherlands";"1987-2025";"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)";"Computer Science"
5;24141;"Artificial Intelligence Review";journal;"02692821, 15737462";"Springer Netherlands";No;No;3,010;Q1;138;348;760;43594;15730;759;19,58;125,27;30,70;4;74;Netherlands;Western Europe;"Springer Netherlands";"1986-2025";"Artificial Intelligence (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
6;13017;"Physics of Life Reviews";journal;"18731457, 15710645";"Elsevier B.V.";No;No;2,384;Q1;77;143;308;8588;680;42;2,30;60,06;32,19;0;12;Netherlands;Western Europe;"Elsevier B.V.";"2004-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Artificial Intelligence (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Computer Science; Physics and Astronomy"
7;21101081610;"International Journal of Information Management Data Insights";journal;"26670968";"Elsevier B.V.";Yes;No;2,302;Q1;48;92;202;7510;3662;201;15,11;81,63;27,94;0;34;Netherlands;Western Europe;"Elsevier B.V.";"2021-2025";"Artificial Intelligence (Q1); Industrial and Manufacturing Engineering (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Social Sciences"
8;24823;"Pattern Recognition";journal;"00313203";"Elsevier Ltd";No;No;2,058;Q1;257;851;1955;39457;19851;1953;9,84;46,37;30,40;0;31;United Kingdom;Western Europe;"Elsevier Ltd";"1968-2025";"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Software (Q1)";"Computer Science"
9;21101047378;"Energy and AI";journal;"26665468";"Elsevier B.V.";Yes;No;2,000;Q1;44;144;233;8670;2909;230;12,60;60,21;21,32;1;103;Netherlands;Western Europe;"Elsevier B.V.";"2020-2025";"Artificial Intelligence (Q1); Energy (miscellaneous) (Q1); Engineering (miscellaneous) (Q1)";"Computer Science; Energy; Engineering"
10;23640;"Advanced Engineering Informatics";journal;"14740346";"Elsevier Ltd";No;No;1,993;Q1;124;661;882;40197;10777;875;11,86;60,81;28,72;1;173;United Kingdom;Western Europe;"Elsevier Ltd";"2002-2025";"Artificial Intelligence (Q1); Information Systems (Q1)";"Computer Science"
11;24772;"Knowledge-Based Systems";journal;"09507051";"Elsevier B.V.";No;No;1,934;Q1;188;1383;3015;77048;30317;3012;9,62;55,71;29,76;1;122;Netherlands;Western Europe;"Elsevier B.V.";"1987-2025";"Artificial Intelligence (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Software (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
12;24201;"Expert Systems with Applications";journal;"09574174";"Elsevier Ltd";No;No;1,854;Q1;290;3745;5690;212844;63040;5690;10,48;56,83;28,98;7;829;United Kingdom;Western Europe;"Elsevier Ltd";"1990-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Engineering (miscellaneous) (Q1)";"Computer Science; Engineering"
13;23675;"Artificial Intelligence";journal;"00043702";"Elsevier B.V.";No;No;1,836;Q1;174;112;353;6814;3072;350;6,09;60,84;20,19;0;5;Netherlands;Western Europe;"Elsevier B.V.";"1968, 1970-2025";"Artificial Intelligence (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
14;21100970248;"CAAI Transactions on Intelligence Technology";journal;"24686557, 24682322";"John Wiley &amp; Sons Inc.";Yes;No;1,785;Q1;44;143;235;7679;2345;226;10,54;53,70;26,43;0;23;United Kingdom;Western Europe;"John Wiley &amp; Sons Inc.";"2017-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Information Systems (Q1)";"Computer Science"
15;24363;"Journal of Intelligent Manufacturing";journal;"15728145, 09565515";"Springer Netherlands";No;No;1,763;Q1;113;397;462;23449;5049;458;10,94;59,07;24,90;1;197;Netherlands;Western Europe;"Springer Netherlands";"1990-2025";"Artificial Intelligence (Q1); Industrial and Manufacturing Engineering (Q1); Software (Q1)";"Computer Science; Engineering"
16;21101078838;"Computers in Human Behavior Reports";journal;"24519588";"Elsevier B.V.";Yes;No;1,709;Q1;30;171;258;13171;2145;257;7,77;77,02;50,82;1;32;United Kingdom;Western Europe;"Elsevier B.V.";"2020-2025";"Applied Psychology (Q1); Artificial Intelligence (Q1); Cognitive Neuroscience (Q1); Computer Science Applications (Q1); Human-Computer Interaction (Q1); Neuroscience (miscellaneous) (Q1)";"Computer Science; Neuroscience; Psychology"
17;24182;"Engineering Applications of Artificial Intelligence";journal;"09521976";"Elsevier Ltd";No;No;1,652;Q1;149;2042;2402;123379;24341;2399;10,23;60,42;27,05;2;507;United Kingdom;Western Europe;"Elsevier Ltd";"1988-2025";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
18;21101192774;"Chip";journal;"27722724, 27094723";"Elsevier B.V.";Yes;No;1,624;Q1;14;32;56;2586;418;56;7,46;80,81;24,58;0;8;Netherlands;Western Europe;"Elsevier B.V.";"2022-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Hardware and Architecture (Q1)";"Computer Science; Engineering"
19;21101155822;"Neuromorphic Computing and Engineering";journal;"26344386";"Institute of Physics";Yes;No;1,548;Q1;19;64;158;3410;923;150;5,94;53,28;19,84;0;7;United Kingdom;Western Europe;"Institute of Physics";"2021-2025";"Artificial Intelligence (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Hardware and Architecture (Q1)";"Computer Science; Engineering; Materials Science"
20;21101058910;"Internet of Things (The Netherlands)";journal;"25426605";"Elsevier B.V.";No;No;1,527;Q1;69;423;592;26107;6589;586;11,45;61,72;20,30;4;189;Netherlands;Western Europe;"Elsevier B.V.";"2018-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Management of Technology and Innovation (Q1); Software (Q1)";"Business, Management and Accounting; Computer Science; Engineering"
21;24804;"Neural Networks";journal;"08936080, 18792782";"Elsevier Ltd";No;No;1,491;Q1;186;739;1298;42095;10227;1289;7,66;56,96;30,40;0;35;United Kingdom;Western Europe;"Elsevier Ltd";"1988-2025";"Artificial Intelligence (Q1); Cognitive Neuroscience (Q1)";"Computer Science; Neuroscience"
22;24807;"Neurocomputing";journal;"09252312, 18728286";"Elsevier B.V.";No;No;1,471;Q1;216;1264;4067;77546;32873;4034;8,18;61,35;29,09;1;78;Netherlands;Western Europe;"Elsevier B.V.";"1989-2025";"Artificial Intelligence (Q1); Cognitive Neuroscience (Q1); Computer Science Applications (Q1)";"Computer Science; Neuroscience"
23;21101109601;"Machine Learning and Knowledge Extraction";journal;"25044990";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;1,437;Q1;36;139;201;8067;1919;198;8,98;58,04;26,05;1;47;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2019-2024";"Artificial Intelligence (Q1); Engineering (miscellaneous) (Q1)";"Computer Science; Engineering"
24;36450;"Design Studies";journal;"0142694X";"Elsevier Ltd";No;No;1,410;Q1;116;19;100;1152;628;95;6,54;60,63;52,46;0;5;United Kingdom;Western Europe;"Elsevier Ltd";"1979-2025";"Architecture (Q1); Artificial Intelligence (Q1); Arts and Humanities (miscellaneous) (Q1); Computer Science Applications (Q1); Engineering (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)";"Arts and Humanities; Computer Science; Engineering; Social Sciences"
25;21101068929;"Smart Cities";journal;"26246511";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;1,398;Q1;42;153;319;11272;3391;317;7,92;73,67;26,26;3;138;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2018-2024";"Artificial Intelligence (Q1); Electrical and Electronic Engineering (Q1); Urban Studies (Q1)";"Computer Science; Engineering; Social Sciences"
26;24140;"Artificial Intelligence in Medicine";journal;"09333657, 18732860";"Elsevier B.V.";No;No;1,396;Q1;118;210;452;14099;3848;445;8,39;67,14;34,94;0;61;Netherlands;Western Europe;"Elsevier B.V.";"1989-2025";"Artificial Intelligence (Q1); Health Informatics (Q1); Medicine (miscellaneous) (Q1)";"Computer Science; Medicine"
27;21101017498;"Journal of Healthcare Informatics Research";journal;"2509498X";"Springer International Publishing";No;No;1,385;Q1;22;31;67;1898;566;66;4,79;61,23;39,49;0;8;Switzerland;Western Europe;"Springer International Publishing";"2017-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Health Informatics (Q1); Information Systems (Q1)";"Computer Science; Medicine"
28;24777;"Minds and Machines";journal;"09246495, 15728641";"Springer Netherlands";No;No;1,339;Q1;56;51;96;3415;602;91;5,29;66,96;28,26;2;5;Netherlands;Western Europe;"Springer Netherlands";"1991-2025";"Artificial Intelligence (Q1); Philosophy (Q1)";"Arts and Humanities; Computer Science"
29;21100901150;"Data Science and Engineering";journal;"23641541, 23641185";"Springer International Publishing";Yes;Yes;1,273;Q1;32;33;86;1640;537;83;5,86;49,70;40,91;0;5;Switzerland;Western Europe;"Springer International Publishing";"2016-2025";"Artificial Intelligence (Q1); Computational Mechanics (Q1); Computer Science Applications (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering"
30;23616;"AI and Society";journal;"09515666, 14355655";"Springer London";No;No;1,208;Q1;55;551;485;26690;3069;433;6,03;48,44;35,24;48;94;United Kingdom;Western Europe;"Springer London";"1987-1996, 1998-2025";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Philosophy (Q1)";"Arts and Humanities; Computer Science"
